Agency,2012 Index Crimes,2012 Population Estimates,"Crime Rates per 1,000 Inhabitants"
Albany County,973,35056,27.8
Sheriff,62,5314,11.7
Laramie,744,29742,25
Univ of Wy,167,0,0
Big Horn County,62,7694,8.1
Sheriff,21,6366,3.3
Basin,23,1328,17.3
Greybull,18,1816,9.9
Campbell County,1485,46265,32.1
Sheriff,253,15792,16
Gillette,1232,30473,40.4
Carbon County,371,15689,23.6
Sheriff,67,3974,16.9
Rawlins,283,893,316.9
Saratoga,16,8993,1.8
Hanna,5,1829,2.7
Converse County,405,14083,28.8
Sheriff,96,5063,19
Douglas,270,6468,41.7
Glenrock,39,2552,15.3
Crook County,149,3486,42.7
Sheriff,52,600,86.7
Sundance,12,538,22.3
Hulett,9,961,9.4
Moorcroft,76,1387,54.8
Fremont County,1092,40006,27.3
Sheriff,226,21771,10.4
Lander,270,7622,35.4
Riverton,596,10613,56.2
Goshen County,251,12607,19.9
Sheriff,83,6791,12.2
Torrington,168,5816,28.9
Hot Springs County,90,4679,19.2
Sheriff,39,1677,23.3
Thermopolis,51,3002,17
Johnson County,171,8909,19.2
Sheriff,48,3786,12.7
Buffalo,123,5123,24
Laramie County,2941,91857,32
Sheriff,692,31298,22.1
Cheyenne,2220,59361,37.4
Pine Bluffs,29,1198,24.2
Lincoln County,137,16627,8.2
Sheriff,71,10578,6.7
Afton,17,1911,8.9
Kemmerer,36,693,51.9
Diamondville*,9,2563,3.5
Alpine*,4,882,4.5
Natrona County,2497,77252,32.3
Sheriff,285,14138,20.2
Casper,2053,56813,36.1
Mills,110,2594,42.4
Evansville,49,3707,13.2
Niobrara County,11,2424,4.5
Sheriff,5,959,5.2
Lusk,6,1465,4.1
Park County,553,28914,19.1
Sheriff,115,13231,8.7
Cody,203,9730,20.9
Powell,235,5953,39.5
Platte County,93,37440,2.5
Sheriff,22,3974,5.5
Wheatland,71,3290,21.6
Sheridan County,539,30176,17.9
Sheriff,52,12106,4.3
Sheridan,486,18070,26.9
Northern Wyoming,1,0,-
Sublette County,95,9376,10.1
Sheriff,95,9376,10.1
Sweetwater County,1147,42675,26.9
Sheriff,164,8193,20
Green River,272,12793,21.3
Rock Springs,711,21689,32.8
Teton County,277,9577,28.9
Jackson,277,9577,28.9
Uinta County,389,19493,20
Sheriff,89,7182,12.4
Evanston,300,12311,24.4
Washakie County,52,8076,6.4
Sheriff,11,2919,3.8
Worland,41,5157,8
Weston County,97,6280,15.4
Sheriff,4,2775,1.4
Newcastle,93,3505,26.5
