,Total Assaults by Weapon,Firearm,Knife or Other Cutting Instrument,Other Dangerous Weapon,"Hand, Fists, Feet, Etc.",Two-Man Vehicle,One-Man Vehicle Alone,One-Man Vehicle Assisted,Detective Special Assign. Alone,Detective Special Assign. Assisted,Other Alone,Other Assisted,Cleared 
"Responding to ""Disturbance"" Call",19,1,,1,17,2,4,11,,,,2,12
Burglaries in progress or pursuing burglary suspect,,,,,,,,,,,,,
Robberies in progress or pursuing robbery suspect,,,,,,,,,,,,,
Attempting other arrest,11,1,,,10,,1 1,9,,1,,,7
"Civil disorder (riot, mass disobedience)",1,,,,1,,1,1,,,,,1
"Handling,  transporting, custody of prisoners",15,,,,15,,2,5,,,,,12
Investigation suspicious persons or circumstances,5,,,1,4,1,,4,,,,,
Ambush - no warning,,,,,,,,,,,,,
Mentally deranged,,,,,,,,,,,,,
Traffic pursuits and stops,,,,,,,,,,,,,
All others,17,,,,17,1,1,6,1,,1,7,14
