"",Actual,Offenses,%,Stolen,%,Crime
INDEX CRIMES,,,,,,
"",Offenses,Cleared,Cleared,Property,Change,Index
"",,,,,,
Murder,15,15,100.0%,-,7.1%,0.3
Rape,136,48,35.3%,-,-7.5%,2.4
Robbery,57,25,43.9%,"200,564",-5.0%,1.0
Agg. Asslt,860,604,70.2%,-,-0.5%,14.9
Burglary,1895,265,14.0%,"2,378,069",-8.0%,32.9
Larceny,"9,995",2810,28.1%,"6,139,163",-1.8%,173.4
MVT,539,128,23.7%,"3,917,156",-1.5%,9.4
"",,,,,,
Violent Crimes,"1,068",692,64.8%,"$12,634,952",-1.6%,18.5
Property Crimes,"12,429","3,895",25.8%,"$12,434,388",-2.8,215.6
"",,,,,,
TOTAL,"13,497","3,895",28.9%,"$12,634,952",-2.71%,234.2
"",,,,,,
Arson,33,7,21.2%,"69,667",-37.7%,0.6

