"",VALUE,VALUE,PERCENT
TYPE OF PROPERTY,,,
"",STOLEN,RECOVERED,RECOVERED
"",,,
"A) Currency, Notes, etc.","$1,888,023","$58,545",3.1%
B) Jewelry & Precious Metal,"$1,028,350","$98,783",9.6%
C) Clothing & Furs,"$180,109","$40,097",22.3%
D) Locally Stolen Motor Vehicles,"$3,978,007","$3,014,312",75.8%
E) Office Equipment,"$186,871","$51,102",27.3%
"F) Televisions, Radios, Stereos, etc","$525,775","$77,380",14.7%
G) Firearms,"$299,888","$72,543",24.2%
H) Household Goods,"$182,515","$28,009",15.3%
I)  Consumable Goods,"$259,752","$76,753",29.5%
J) Livestock,"$19,938",$470,2.4%
K) Miscellaneous,"$4,052,414","$807,423",19.9%
TOTAL,"$12,601,642","$4,325,417",34.3%

