County,Office,2014 Index Crimes,2014 Population Estimates,"Crime Rates per 1,000 Inhabitants"
Albany,Albany County,962,"37,461",25.7
Albany,Sheriff,57,"5,424",10.5
Albany,Laramie,753,"32,037",23.5
Albany,Univ of Wy*,152,0,0
Bighorn,Big Horn County,72,"10,650",6.8
Bighorn,Sheriff,30,"6,356",4.7
Bighorn,Lovell,21,"2,439",8.6
Bighorn,Greybull,21,"1,855",11.3
Campbell,Campbell County,"1,283","48,408",26.5
Campbell,Sheriff,275,"16,127",17.1
Campbell,Gillette,"1,008","32,281",31.2
Carbon,Carbon County,277,"15,205",18.2
Carbon,Sheriff,38,"3,553",10.7
Carbon,Rawlins,225,"9,160",24.6
Carbon,Saratoga,9,"1,667",5.4
Carbon,Hanna,5,825,6.1
Converse,Converse County,299,"14,360",20.8
Converse,Sheriff,40,"5,145",7.8
Converse,Douglas,227,"6,561",34.6
Converse,Glenrock,32,"2,654",12.1
Crook,Crook County,90,"7,163",12.6
Crook,Sheriff,43,"4,503",9.5
Crook,Sundance,24,"1,230",19.5
Crook,Hulett,3,403,7.4
Crook,Moorcroft,20,"1,027",19.5
Fremont,Fremont County,955,"40,963",20.8
Fremont,Sheriff,226,"22,119",5.6
Fremont,Lander,250,"7,788",32.1
Fremont,Riverton,479,"11,056",43.3
Goshen,Goshen County,212,"13,586",15.6
Goshen,Sheriff,84,"6,744",12.5
Goshen,Torrington,128,"6,842",18.7
Hot Springs,Hot Springs County,37,"4,831",7.7
Hot Springs,Sheriff,16,"1,784",9
Hot Springs,Thermopolis,21,"3,047",6.9
Johnson,Johnson County,151,"8,595",17.6
Johnson,Sheriff,28,"3,944",7.1
Johnson,Buffalo,123,"4,651",26.4
Laramie,Laramie County,"2,495","96,236",25.9
Laramie,Sheriff,588,"31,922",18.4
Laramie,Cheyenne,"1,884","63,155",29.8
Laramie,Pine Bluffs,23,"1,159",19.8
Lincoln,Lincoln County,174,"17,250",10
Lincoln,Sheriff,89,"11,842",7.5
Lincoln,Afton,41,"1,961",20.9
Lincoln,Kemmerer,44,"2,714",16.2
Lincoln,Diamondville,0,733,0
Natrona,Natrona County,"2,056","81,960",25.5
Natrona,Sheriff,223,"14,682",15.2
Natrona,Casper,"1,716","60,771",28.2
Natrona,Mills,52,"3,597",23.6
Natrona,Evansville,65,"2,910",22.3
Niobrara,Niobrara County,5,"2,540",3.1
Niobrara,Lusk,5,"1,628",3.1
Park,Park County,497,"29,306",17
Park,Sheriff,108,"12,887",8.4
Park,Cody,203,"9,903",20.5
Park,Powell,186,"6,516",28.5
Platte,Platte County,153,"8,738",20.3
Platte,Sheriff,36,"3,888",9.3
Platte,Wheatland,117,"3,657",32
Sheridan,Sheridan County,499,"29,829",16.7
Sheridan,Sheriff,56,"11,909",4.7
Sheridan,Sheridan,443,"17,920",24.7
Sheridan,Northern Wyoming Community College*,0,0,0
Sublette,Sublette County,86,"9,940",8.7
Sublette,Sheriff,86,"9,940",8.7
Sweetwater,Sweetwater County,954,"45,457",20.7
Sweetwater,Sheriff,154,"8,133",18.9
Sweetwater,Green River,193,"12,893",15
Sweetwater,Rock Springs,607,"24,431",24.8
Teton,Teton County,277,"10,269",27.6
Teton,Jackson,277,"10,269",27.6
Uinta,Uinta County,432,"18,846",22.9
Uinta,Sheriff,63,"6,569",9.6
Uinta,Evanston,369,"12,277",30.1
Washakie,Washakie County,61,"8,397",7.3
Washakie,Sheriff,6,"2,950",2
Washakie,Worland,55,"5,447",10.1
Weston,Weston County,86,"6,022",14.3
Weston,Sheriff,9,"2,500",3.6
Weston,Newcastle,77,"3,522",21.9
