Type of Activity,Total Assaults by Weapon,Firearm,Knife or Other Cutting Instrument,Other Dangerous Weapon,"Hand, Fists, Feet, Etc.",Two-Man Vehicle,One-Man Vehicle Alone,One-Man Vehicle Assisted,Detective Special Assign. Alone,Detective Special Assign. Assisted,Other Alone,Other Assisted,Cleared 
"Responding to ""Disturbance"" Call",15,,,,15,,,15,,,,,7
Burglaries in progress or pursuing burglary,,,,,,,,,,,,,
suspect,0,,,,,,,,,,,,
Robberies in progress or pursuing robbery,,,,,,,,,,,,,
suspect,0,,,,,,,,,,,,
Attempting other arrest,9,,,,9,1,,6,,,,2,7
"Civil disorder (riot, mass disobedience)",1,,,,1,,1,,,,,,
"Handling,  transporting, custody of prisoners",5,,,,5,1,,,,1,1,2,5
Investigation suspicious persons or,,,,,,,,,,,,,
circumstances,6,,,1,5,,1,5,,,,,6
Ambush - no warning,0,,,,,,,,,,,,
Mentally deranged,0,,,,,,,,,,,,
Traffic pursuits and stops,1,,,,1,,,1,,,,,1
All others,8,,,,8,,2,5,,,,1,7
