Property Classification,Number of Offenses,Total Offenses Cleared,Uninhabited or Abandoned Structures,Estimated Value of Property Damaged
Single Occupancy Residence,7,1,2,"$432,030 "
Other Residence,0,1,0,$0 
Storage,2,0,1,"$2,015 "
"Industrial, Manufacturing,",,,,
Other Commercial,5,1,1,"$1,501,200 "
Community/Public,9,1,4,"$1,001 "
All Other Structures,2,0,1,"$6,200 "
TOTAL STRUCTURES,25,4,9,"$1,942,446 "
Motor Vehicles,7,0,0,"$70,103 "
Other Mobile Property,1,0,0,"$5,000 "
TOTAL MOBILE,8,0,0,"$75,103 "
TOTAL OTHER,8,3,1,"$1,410 "
GRAND TOTAL,41,7,10,"$2,018,959 "
