"",Change  AGG,1ST QT 2016,,M,QT 2015,,M,
"",MURDER RAPE ROBBERY ASSLT,BURGLARY LARCENY MVT TOTAL,,,TOTAL,,,*
ALBANY,,,,,,,,
"",0 3 0 14,15 96 7 135,,,155,,,-12.9%
COUNTY,,,,,,,,
Sheriff,4,1 6 11,,3,8,,3,37.5%
"",,,,,,,,
Laramie,3 10,13 69 7 102,,3,116,,3,-12.1%
"",,,,,,,,
Univ of Wy,,1 21 22,,3,31,,3,-29.0%
"",,,,,,,,
BIG HORN,,,,,,,,
"",0 1 0 2,2 2 1 8,,,11,,,-27.3%
COUNTY,,,,,,,,
Sheriff,1,2 3,,3,7,,3,-57.1%
"",,,,,,,,
Lovell,,0,,3,2,,3,-100.0%
"",,,,,,,,
Greybull,2,2 1 5,,3,2,,3,150.0%
"",,,,,,,,
CAMPBELL,,,,,,,,
"",1 2 5 34,36 165 5 248,,,268,,,-7.5%
COUNTY,,,,,,,,
Sheriff,2 24,14 20 2 62,,3,56,,3,10.7%
"",,,,,,,,
Gillette,1 5 10,22 145 3 186,,3,212,,3,-12.3%
"",,,,,,,,
CARBON,,,,,,,,
"",0 0 0 0,0 2 0 2,,,49,,,-95.9%
COUNTY,,,,,,,,
Sheriff,,0,,3,2,,3,-100.0%
"",,,,,,,,
Rawlins,,0,,3,45,,3,-100.0%
"",,,,,,,,
Saratoga,,2 2,,3,2,,3,0.0%
"",,,,,,,,
Hanna,,0,,3,0,,3,0.0%
"",,,,,,,,
CONVERSE,,,,,,,,
"",0 0 0 8,6 32 1 47,,,48,,,-2.1%
COUNTY,,,,,,,,
Sheriff,,0,,3,4,,3,-100.0%
"",,,,,,,,
Douglas,7,3 25 1 36,,3,38,,3,-5.3%
"",,,,,,,,
Glenrock,1,3 7 11,,3,6,,3,83.3%
"",,,,,,,,
CROOK,,,,,,,,
"",0 0 0 1,4 23 3 31,,,19,,,63.2%
COUNTY,,,,,,,,
Sheriff,1,3 11 2 17,,3,7,,3,142.9%
"",,,,,,,,
Sundance,,6 6,,3,6,,3,0.0%
"",,,,,,,,
Hulett,,0,,0,0,,3,0.0%
"",,,,,,,,
Moorcroft,,1 6 1 8,,3,6,,3,33.3%
"",,,,,,,,
FREMONT,,,,,,,,
"",0 1 1 15,12 140 12 181,,,256,,,-29.3%
COUNTY,,,,,,,,
Sheriff,6,4 10,,2,33,,3,-69.7%
"",,,,,,,,
Lander,,37 4 41,,3,74,,3,-44.6%
"",,,,,,,,
Riverton,1 1 9,12 99 8 130,,3,149,,3,-12.8%
"",,,,,,,,
GOSHEN,,,,,,,,
"",0 0 0 13,7 27 0 47,,,36,,,30.6%
COUNTY,,,,,,,,
Sheriff,8,2 5 15,,3,17,,3,-11.8%
"",,,,,,,,
Torrington,5,5 22 32,,3,36,,3,-11.1%
"",,,,,,,,
OT SPRINGS,,,,,,,,
"",0 0 0 0,2 5 0 7,,,6,,,16.7%
COUNTY,,,,,,,,
Sheriff,,2 2,,3,6,,3,-66.7%
"",,,,,,,,
Thermopolis,,2 3 5,,3,0,,3,0.0%
"",,,,,,,,
JOHNSON,,,,,,,,
"",0 0 0 5,2 25 2 34,,,14,,,142.9%
COUNTY,,,,,,,,
Sheriff,2,2 1 5,,3,1,,3,400.0%
"",,,,,,,,
Buffalo,3,24 2 29,,3,13,,3,123.1%
"",,,,,,,,
LARAMIE,,,,,,,,
"",5 7 2 33,84 426 46 603,,,512,,,17.8%
COUNTY,,,,,,,,
Sheriff,1 2 1 9,24 64 13 114,,3,118,,3,-3.4%
Cheyenne,4 5 1 24,57 362 33 486,,3,392,,3,24.0%
Pine Bluffs,,3 3,,3,2,,3,50.0%
LINCOLN,,,,,,,,,,,,
"",0,0,0,2,4,14,1,21,,30,,-30.0%
COUNTY,,,,,,,,,,,,
Sheriff,,,,2,1,2,1,6,3,21,3,-71.4%
"",,,,,,,,,,,,
Afton,,,,,3,10,,13,3,3,3,333.3%
"",,,,,,,,,,,,
Kemmerer,,,,,,2,,2,3,6,3,-66.7%
"",,,,,,,,,,,,
Diamondville,,,,,,,,0,3,0,3,0.0%
"",,,,,,,,,,,,
NATRONA,,,,,,,,,,,,
"",0,7,0,32,97,348,29,513,,474,,8.2%
COUNTY,,,,,,,,,,,,
Sheriff,,5,,7,19,24,6,61,3,100,3,-39.0%
"",,,,,,,,,,,,
Casper,,2,,20,71,310,22,425,3,340,3,25.0%
"",,,,,,,,,,,,
Mills,,,,,3,2,1,6,3,29,3,-79.3%
"",,,,,,,,,,,,
Evansville,,,,5,4,12,,21,3,5,3,320.0%
"",,,,,,,,,,,,
NIOBRARA,,,,,,,,,,,,
"",0,0,0,0,0,0,0,0,,0,,0.0%
COUNTY,,,,,,,,,,,,
Lusk,,,,,,,,0,0,0,3,0.0%
"",,,,,,,,,,,,
PARK,,,,,,,,,,,,
"",0,1,1,12,16,75,1,106,,92,,15.2%
COUNTY,,,,,,,,,,,,
Sheriff,,,1,9,7,6,,23,3,15,3,53.3%
"",,,,,,,,,,,,
Cody,,,,2,6,42,,50,3,49,3,2.0%
"",,,,,,,,,,,,
Powell,,1,,1,3,27,1,33,3,28,3,17.9%
"",,,,,,,,,,,,
PLATTE,,,,,,,,,,,,
"",0,0,0,4,7,16,1,28,,15,,86.7%
COUNTY,,,,,,,,,,,,
Sheriff,,,,,3,4,,7,3,3,3,133.3%
"",,,,,,,,,,,,
Wheatland,,,,4,4,12,1,21,3,12,3,75.0%
"",,,,,,,,,,,,
Guernsey,,,,,,,,0,0,0,3,0.0%
"",,,,,,,,,,,,
SHERIDAN,,,,,,,,,,,,
"",0,0,0,4,11,56,1,72,,93,,-22.6%
COUNTY,,,,,,,,,,,,
Sheriff,,,,,,6,,6,3,7,3,-14.3%
"",,,,,,,,,,,,
Sheridan,,,,4,11,50,1,66,3,86,3,-23.3%
"",,,,,,,,,,,,
NWCCD,,,,,,,,0,3,0,3,200.0%
"",,,,,,,,,,,,
SUBLETTE,,,,,,,,,,,,
"",0,0,0,1,2,17,1,21,,23,,-8.7%
COUNTY,,,,,,,,,,,,
Sheriff,,,,1,2,17,1,21,3,23,3,-8.7%
"",,,,,,,,,,,,
SWEETWATE,,,,,,,,,,,,
"",0,15,0,22,28,148,9,222,,204,,8.8%
R COUNTY,,,,,,,,,,,,
Sheriff,,3,,5,4,15,2,29,3,37,3,-21.6%
"",,,,,,,,,,,,
Green River,,,,7,12,21,,40,3,45,3,-11.1%
"",,,,,,,,,,,,
Rock Springs,,12,,10,12,112,7,153,3,122,3,25.4%
"",,,,,,,,,,,,
TETON,,,,,,,,,,,,
"",0,4,1,6,5,38,4,58,,38,,52.6%
COUNTY,,,,,,,,,,,,
Jackson,,4,1,6,5,38,4,58,3,38,3,52.6%
"",,,,,,,,,,,,
UINTA,,,,,,,,,,,,
"",0,0,0,1,4,84,5,94,,86,,9.3%
COUNTY,,,,,,,,,,,,
Sheriff,,,,1,,10,2,13,3,22,3,-40.9%
"",,,,,,,,,,,,
Evanston,,,,,4,74,3,81,3,64,3,26.6%
"",,,,,,,,,,,,
WASHAKIE,,,,,,,,,,,,
"",0,2,0,0,5,9,1,17,,10,,70.0%
COUNTY,,,,,,,,,,,,
Sheriff,,,,,1,,,1,3,0,3,0.0%
"",,,,,,,,,,,,
Worland,,2,,,4,9,1,16,3,10,3,60.0%
"",,,,,,,,,,,,
WESTON,,,,,,,,,,,,
"",0,0,0,0,2,19,2,23,,21,,9.5%
COUNTY,,,,,,,,,,,,
Sheriff,,,,,,2,,2,3,4,3,-50.0%
"",,,,,,,,,,,,
Newcastle,,,,,2,17,2,21,3,17,3,23.5%
"",,,,,,,,,,,,
TOTAL,6,43,10,209,351,"1,767",132,"2,518",,"2,460",2.4%,
