"",,ADULT,,JUVENILE
"",,,,
CLASSIFICATION OF OFFENSES,Male,Female,Male,Female
Murder & Non-Negligent Manslaughter,4,,,
Forcible Rape,12,,2,
Robbery,4,1,2,
Aggravated Assault,90,24,5,
Burglary,26,6,5,2
Larceny-Theft,209,159,56,18
Motor Vehicle Theft,24,5,3,4
TOTAL INDEX OFFENSE ARRESTS,370,195,73,24
Manslaughter by Negligence,2,1,,
Arson,15,5,3,1
Other Assaults,335,123,51,16
Forgery & Counterfeiting,7,5,,
Fraud,29,10,,
Embezzlement,2,,2,
"Stolen Property; By Receive, Possess",2,,1,1
Vandalism,81,16,23,4
"Weapons; Carry, Possess, etc.",5,1,4,
Prostitution & Commercialized Vice,9,5,,
Sex Offenses(Except Rape & Prostitution),21,2,4,
GRAND TOTAL DRUG ABUSE VIOLATIONS,665,277,78,17
"(1) Sale/Manufacture Subtotal",52,30,3,
"(2) Possession Subtotal",613,247,75,17
Gambling Offenses,,,,
Offenses Against Family & Children,50,23,2,3
Driving Under the Influence,607,198,3,2
Liquor Laws,295,160,63,48
Drunkenness,569,97,3,
Disorderly Conduct,147,51,20,8
Vagrancy,3,1,1,
All Other Offenses (Except Traffic),1460,619,125,34
Suspicion,1,,,
Curfew & Loitering Law Violations,N/A,N/A,36,21
Runaways,N/A,N/A,3,6
TOTALS,"4,675","1,789",495,185
"",,,,
"",,,,
Total Arrests Adult - Juvenile,"6,464",,680,
TOTAL ARRESTS,"7,144",,,
