"",,ADULT,JUVENILE
"",,,
CLASSIFICATION OF OFFENSES,Male,Female,Male Female
Murder & Non-Negligent Manslaughter,2,,
"",,,
Forcible Rape,4,1,
"",,,
Robbery,5,1,
"",,,
Aggravated Assault,83,18,4
"",,,
Burglary,30,14,8 1
Larceny-Theft,221,184,61 35
Motor Vehicle Theft,16,4,
"",,,
TOTAL INDEX OFFENSE ARRESTS,361,222,73 36
Manslaughter by Negligence,1,,
"",,,
Arson,5,1,
"",,,
Other Assaults,225,96,62 36
Forgery & Counterfeiting,3,8,
"",,,
Fraud,29,14,1
"",,,
Embezzlement,,,
"",,,
"Stolen Property; By Receive, Possess",7,3,1
"",,,
Vandalism,62,19,33 9
"Weapons; Carry, Possess, etc.",5,1,12
"",,,
Prostitution & Commercialized Vice,8,6,
"",,,
Sex Offenses(Except Rape & Prostitution),14,1,3
"",,,
GRAND TOTAL DRUG ABUSE VIOLATIONS,632,275,95 38
"(1) Sale/Manufacture Subtotal",52,23,7 2
"(2) Possession Subtotal",580,252,88 36
Gambling Offenses,,,1
"",,,
Offenses Against Family & Children,40,26,2
"",,,
Driving Under the Influence,494,172,1 3
Liquor Laws,243,124,51 30
Drunkenness,346,53,1 2
Disorderly Conduct,119,31,31 10
Vagrancy,2,,
"",,,
All Other Offenses (Except Traffic),1072,445,134 36
Suspicion,1,,
"",,,
Curfew & Loitering Law Violations,N/A,N/A,17 8
Runaways,N/A,N/A,1 5
TOTALS,"3,669","1,497",517 215
Total Arrests Adult - Juvenile,"5,991",,945
"",,,
TOTAL ARRESTS,"6,936",,
