"",VALUE,VALUE,PERCENT
"",,,
TYPE OF PROPERTY,STOLEN,RECOVERED,RECOVERED
"A) Currency, Notes, etc.","$167,564","$13,916",8.3%
B) Jewelry & Precious Metal,"$210,936","$14,930",7.1%
C) Clothing & Furs,"$56,852","$7,392",13.0%
D) Locally Stolen Motor Vehicles,"$1,004,642","$488,623",48.6%
E) Office Equipment,"$49,077","$4,721",9.6%
"F) Televisions, Radios, Stereos, etc.","$85,395","$9,850",11.5%
G) Firearms,"$77,345","$10,728",13.9%
H) Household Goods,"$29,221","$3,730",12.8%
I) Consumable Goods,"$39,917","$13,358",33.5%
J) Livestock,"$18,873",$430,2.3%
K) Miscellaneous,"$1,118,076","$209,076",18.7%
TOTAL,"$2,857,898","$776,754",27.2%
