"",,,,Estimated
"",Number,Total,Uninhabited,Value of
Property Classification,of,Offenses,or Abandoned,Property
"",Offenses,Cleared,Structures,Damaged
Single Occupancy Residence,3,1,,$10
Other Residence,1,1,1,"$1,000"
Storage,1,,1,$50
Industrial/Manufacturing,,,,
Other Commercial,1,,,
Community/Public,3,1,3,"$5,000"
All other Structures,1,,1,
TOTAL STRUCTURES,10,3,6,"$6,060"
Motor Vehicles,1,,1,"$17,000"
Other Mobile Property,,,,
TOTAL MOBILE,1,,1,"$17,000"
TOTAL OTHER,5,3,,"$102,360"
GRAND TOTAL,16,6,7,"$125,420"
