"",,,,,,,,3RD QT,,3RD QT,,
"",,,,AGG.,,,,,,,,%
"",MURDER,RAPE,ROBBERY,,BURGLARY,LARCENY,MVT,2017,M,2016,M,
"",,,,ASSAULT,,,,TOTAL,,TOTAL,,Change *
ALBANY COUNTY,1,0,1,8,26,133,11,180,,142,,26.8%
Sheriff,1,,,3,3,8,1,16,3,12,3,33.3%
Laramie,,,1,5,21,108,10,145,3,106,3,36.8%
Univ of Wyoming,,,,,2,17,,19,3,24,3,-20.8%
BIG HORN COUNTY,0,2,0,7,0,7,1,17,,9,,88.9%
Sheriff,,1,,2,,6,,9,3,8,3,12.5%
Lovell,,1,,5,,1,1,8,0,0,0,100.0%
Greybull,,,,,,,,0,3,1,3,-100.0%
CAMPBELL COUNTY,1,10,2,27,20,149,11,220,,293,,-24.9%
Sheriff,1,8,1,22,5,28,7,72,3,68,3,5.9%
Gillette,,2,1,5,15,121,4,148,3,225,3,-34.2%
CARBON COUNTY,0,3,0,5,3,38,10,59,,88,,-33.0%
Sheriff,,2,,,,1,2,5,3,13,3,-61.5%
Rawlins,,1,,5,3,36,8,53,3,0,0,100.0%
Saratoga,,,,,,1,,1,3,9,3,-88.9%
Hanna,,,,,,,,0,3,0,0,0.0%
CONVERSE COUNTY,0,0,0,1,0,13,0,14,,64,,-78.1%
Sheriff,,,,,,,,0,0,0,0,0.0%
Douglas,,,,1,,7,,8,1,47,3,-83.0%
Glenrock,,,,,,6,,6,3,17,3,-64.7%
CROOK COUNTY,0,0,0,0,2,6,0,8,,17,,-52.9%
Sheriff,,,,,2,6,,8,3,12,3,-33.3%
Sundance,,,,,,,,0,3,3,3,-100.0%
Moorcroft,,,,,,,,0,3,2,3,-100.0%
FREMONT COUNTY,0,0,0,6,13,180,8,207,,278,,-25.5%
Sheriff,,,,,,,,0,0,38,0,-100.0%
Lander,,,,,,42,2,44,3,71,3,-38.0%
Riverton,,,,6,13,138,6,163,3,169,3,-3.6%
GOSHEN COUNTY,0,0,0,6,3,11,0,20,,38,,-47.4%
Sheriff,,,,,,,,0,0,15,3,-100.0%
Torrington,,,,6,3,11,,20,3,23,3,-13.0%
HOT SPRINGS COUNTY,0,0,0,4,7,16,3,30,,22,,36.4%
Sheriff,,,,,3,1,3,7,3,7,3,0.0%
Thermopolis,,,,4,4,15,,23,3,15,1,53.3%
JOHNSON COUNTY,0,1,0,2,4,15,2,24,,25,,-4.0%
Sheriff,,1,,1,3,5,,10,3,7,2,42.9%
Buffalo,,,,1,1,10,2,14,3,18,3,-22.2%
LARAMIE COUNTY,2,8,10,62,117,610,74,883,,942,,-6.3%
Sheriff,1,2,,21,31,101,15,171,3,155,3,10.3%
Cheyenne,1,6,10,41,86,504,58,706,3,784,3,-9.9%
Pine Bluffs,,,,,,5,1,6,3,3,3,100.0%
LINCOLN COUNTY,0,4,0,2,9,13,1,29,,45,,-35.6%
Sheriff,,3,,2,3,8,1,17,3,27,3,-37.0%
Afton,,,,,3,2,,5,3,8,3,-37.5%
Kemmerer,,1,,,3,3,,7,3,10,3,-30.0%
Diamondville,,,,,,,,0,3,0,3,0.0%
NATRONA COUNTY,0,19,4,27,117,375,44,586,,402,,45.8%
Sheriff,,10,1,6,15,54,9,95,3,67,3,41.8%
Casper,,6,3,14,88,301,31,443,3,281,3,57.7%
Mills,,,,,12,9,2,23,3,21,3,9.5%
Evansville,,3,,7,2,11,2,25,3,33,3,-24.2%
NIOBRARA COUNTY,0,0,0,1,3,1,0,5,,0,,0.0%
Sheriff,,,,1,3,1,,5,3,0,0,100.0%
Lusk,,,,,,,,0,0,0,0,0.0%
PARK COUNTY,2,3,0,14,18,83,7,127,,168,,-24.4%
Sheriff,2,-1,,11,6,14,2,34,3,32,3,6.3%
Cody,,,,1,6,31,2,40,3,85,3,-52.9%
Powell,,4,,2,6,38,3,53,3,51,3,3.9%
PLATTE COUNTY,0,0,1,2,5,20,4,32,,31,,3.2%
Sheriff,,,,1,,2,,3,3,6,3,-50.0%
Wheatland,,,1,1,5,18,4,29,3,25,3,16.0%
Guernsey,,,,,,,,0,0,0,0,0.0%
SHERIDAN COUNTY,0,0,0,4,20,98,15,137,,162,,-15.4%
Sheriff,,,,4,2,14,2,22,3,26,3,-15.4%
Sheridan,,,,,18,84,13,115,3,136,3,-15.4%
NWCCD,,,,,,,,0,0,0,0,0.0%
SUBLETTE COUNTY,0,0,0,2,4,24,1,31,,27,,14.8%
Sheriff,,,,2,4,24,1,31,3,27,3,14.8%
SWEETWATER COUNTY,1,17,0,29,45,185,12,289,,242,,19.4%
Sheriff,1,3,,6,7,16,4,37,3,51,3,-27.5%
Green River,,,,8,6,26,1,41,3,44,3,-6.8%
Rock Springs,,14,,15,32,143,7,211,3,147,3,43.5%
TETON COUNTY,0,0,0,0,0,0,0,0,,72,,-100.0%
Jackson,,,,,,,,0,0,72,2,-100.0%
UINTA COUNTY,0,0,0,5,14,87,6,112,,122,,-8.2%
Sheriff,,,,2,1,17,1,21,3,19,3,10.5%
Evanston,,,,3,13,70,5,91,3,103,3,-11.7%
WASHAKIE COUNTY,0,0,0,3,2,10,0,15,,36,,-58.3%
Sheriff,,,,,1,3,,4,2,7,3,-42.9%
Worland,,,,3,1,7,,11,2,29,3,-62.1%
WESTON COUNTY,0,1,0,1,5,11,0,18,,19,,-5.3%
Sheriff,,,,,,,,0,3,1,3,-100.0%
Newcastle,,1,,1,5,11,,18,3,18,3,0.0%
TOTAL,7,68,18,218,437,"2,085",210,"3,043",,"3,244",,-6.2%
