"",,,Type of Weapon,,,Type of Assignment,,
"",,,,,,,,
"",Total,,Knife or,"Hand,",,One-Man Detective,,
"",Assaults,,Other Other,"Fists,",Two-Man,Special Assign.,Other,
"",by,,Cutting Dangerous,"Feet,",Vehicle,Vehicle,,
"",Weapon,Firearm,Instrument Weapon,Etc.,,Alone Assisted Alone Assisted,Alone Assisted,Cleared
Type of Activity,,,,,,,,
"",A,B,C D,E,F,G H I J,K L,M
"Responding to ""Disturbance""",,,,,,,,
Call,3,,,3,,3,,3
Burglaries in progress or,,,,,,,,
pursuing burglary suspect,0,,,,,,,
Robberies in progress or,,,,,,,,
pursuing robbery suspect,0,,,,,,,
Attempting other arrest,3,,1,2,,1 1,1,2
"Civil disorder (riot, mass",,,,,,,,
disobedience),0,,,,,,,
"Handling,  transporting, custody",,,,,,,,
of prisoners,3,,,3,,3,,3
Investigation suspicious,,,,,,,,
persons or circumstances,2,,,2,,2,,2
4Ambush - no warning,0,,,,,,,
Mentally deranged,0,,,,,,,
Traffic pursuits and stops,2,,1,1,,1 1,,2
All others,2,,,2,,2,,
TOTALS,15,0,0 2,13,0,3 10 0 1,0 1,12
