"",Actual,,Cleared,,%Cleared,Stolen,,%Change
"",,,,,,,,
Murder,7,,6,,85.7%,$0,,75.0%
Rape,68,,16,,23.5%,$0,,30.8%
Robbery,18,,5,,27.8%,"$7,185",,0.0%
Aggravated Assault,218,,130,,59.6%,$0,,-7.2%
Total Violent Crimes,311,,157,,50.5%,"$7,185",,0.6%
Burglary,437,,42,,9.6%,"$533,763",,-8.4%
Larceny,"2,085",,369,,17.7%,"$3,208,135",,-5.7%
MV Theft,210,,56,,26.7%,"$1,412,511",,-15.3%
Total Property Crimes,"2,732",,467,,17.1%,"$5,154,409",,-6.9%
Grand Total,"3,043",,624,,20.5%,"$5,161,594",,-6.2%
Arson,16,,6,,37.5%,"$125,420",,23.1%
