county,murder_total,murder_adult_male,murder_adult_female,murder_juvenile_male,murder_juvenile_female,forcible_rape_total,forcible_rape_adult_male,forcible_rape_adult_female,forcible_rape_juvenile_male,forcible_rape_juvenile_female,robbery_total,robbery_adult_male,robbery_adult_female,robbery_juvenile_male,robbery_juvenile_female,aggravated_assault_total,aggravated_assault_adult_male,aggravated_assault_adult_female,aggravated_assault_juvenile_male,aggravated_assault_juvenile_female,burglary_total,burglary_adult_male,burglary_adult_female,burglary_juvenile_male,burglary_juvenile_female,larceny_theft_total,larceny_theft_adult_male,larceny_theft_adult_female,larceny_theft_juvenile_male,larceny_theft_juvenile_female,mvt_total,mvt_adult_male,mvt_adult_female,mvt_juvenile_male,mvt_juvenile_female,total_total,total_adult_male,total_adult_female,total_juvenile_male,total_juvenile_female
ALBANY COUNTY TOTALS,1,1,0,0,0,10,1,0,0,0,0,1,0,0,0,43,15,1,1,0,90,10,0,0,0,609,72,57,15,6,29,100,59,17,6,0,0,0,0,0
ALBANY COUNTY SHERIFF’S OFFICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,1,0,0,19,1,0,0,0,23,4,1,0,6,4,9,2,1,6,0,0,0,0,0
LARAMIE POLICE DEPARTMENT,1,1,0,0,0,10,1,0,0,0,0,1,0,0,0,32,11,0,1,0,60,9,0,0,0,442,65,54,15,6,24,88,55,16,6,0,0,0,0,0
UNIVERSITY OF WYOMING POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,144,3,2,0,0,1,3,2,0,0,0,0,0,0,0
BIG HORN COUNTY TOTALS,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,7,4,3,0,0,16,0,1,0,0,29,0,1,0,0,0,4,7,0,0,0,0,0,0,0
BIG HORN COUNTY SHERIFF’S OFFICE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,1,0,0,7,0,0,0,0,13,0,0,0,0,0,2,1,0,0,0,0,0,0,0
GREYBULL POLICE DEPARTMENT,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,4,2,2,0,0,7,0,1,0,0,14,0,1,0,0,0,2,6,0,0,0,0,0,0,0
LOVELL POLICE DEPARTMENT (REPORTED FROM JANUARY THROUGH MAY),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMPBELL COUNTY TOTALS,1,1,0,0,0,6,2,0,0,0,3,1,0,0,0,106,47,8,0,0,127,9,6,6,1,748,116,103,44,20,38,182,117,53,25,0,0,0,0,0
CAMPBELL COUNTY SHERIFF’S OFFICE,1,1,0,0,0,8,2,0,0,0,0,0,0,0,0,61,18,3,0,0,49,3,2,5,0,88,17,8,8,1,11,44,13,15,1,0,0,0,0,0
GILLETTE POLICE DEPARTMENT,0,0,0,0,0,-2,0,0,0,0,3,1,0,0,0,45,29,5,0,0,78,6,4,1,1,660,99,95,36,19,27,138,104,38,24,0,0,0,0,0
CARBON COUNTY TOTALS,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,40,27,2,1,0,41,5,1,0,0,213,34,16,3,2,16,72,19,5,3,0,0,0,0,0
CARBON COUNTY SHERIFF’S OFFICE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,0,0,5,0,0,0,0,12,4,2,0,0,1,14,2,0,0,0,0,0,0,0
HANNA MARSHAL’S OFFICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
RAWLINS POLICE DEPARTMENT,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,28,15,2,1,0,32,2,0,0,0,194,27,14,3,2,14,49,16,5,2,0,0,0,0,0
SARATOGA POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,4,3,1,0,0,7,3,0,0,0,1,8,1,0,1,0,0,0,0,0
CONVERSE COUNTY TOTALS,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,71,20,1,1,0,17,1,1,0,0,173,3,0,0,0,8,25,2,1,0,0,0,0,0,0
