COUNTY,YEAR,CHINS,DE
Albany,2012,0,34
Albany,2013,0,37
Albany,2014,1,45
Albany,2015,2,29
Albany,2016,0,15
Big Horn,2012,1,13
Big Horn,2013,1,20
Big Horn,2014,2,15
Big Horn,2015,5,6
Big Horn,2016,4,9
Campbell,2012,29,99
Campbell,2013,17,61
Campbell,2014,19,82
Campbell,2015,18,62
Campbell,2016,28,50
Carbon,2012,0,31
Carbon,2013,0,17
Carbon,2014,0,21
Carbon,2015,3,31
Carbon,2016,7,36
Converse,2012,6,38
Converse,2013,5,51
Converse,2014,5,47
Converse,2015,2,25
Converse,2016,4,38
Crook,2012,0,4
Crook,2013,1,2
Crook,2014,2,8
Crook,2015,0,9
Crook,2016,0,7
Fremont,2012,0,40
Fremont,2013,0,32
Fremont,2014,2,26
Fremont,2015,4,35
Fremont,2016,3,29
Goshen,2012,4,30
Goshen,2013,12,19
Goshen,2014,11,30
Goshen,2015,14,19
Goshen,2016,10,23
Hot Springs,2012,0,10
Hot Springs,2013,0,4
Hot Springs,2014,0,3
Hot Springs,2015,0,7
Hot Springs,2016,4,5
Johnson,2012,2,9
Johnson,2013,0,13
Johnson,2014,1,25
Johnson,2015,1,10
Johnson,2016,1,9
Laramie,2012,54,114
Laramie,2013,36,164
Laramie,2014,52,162
Laramie,2015,48,143
Laramie,2016,73,116
Lincoln,2012,0,9
Lincoln,2013,0,7
Lincoln,2014,1,4
Lincoln,2015,9,1
Lincoln,2016,4,9
Natrona,2012,6,81
Natrona,2013,16,86
Natrona,2014,16,68
Natrona,2015,12,63
Natrona,2016,23,74
Niobrara,2012,0,0
Niobrara,2013,0,1
Niobrara,2014,2,2
Niobrara,2015,2,0
Niobrara,2016,0,2
Park,2012,0,36
Park,2013,0,33
Park,2014,0,29
Park,2015,0,26
Park,2016,1,26
Platte,2012,3,11
Platte,2013,0,9
Platte,2014,7,9
Platte,2015,2,9
Platte,2016,0,5
Sheridan,2012,5,25
Sheridan,2013,13,37
Sheridan,2014,10,28
Sheridan,2015,11,31
Sheridan,2016,4,30
Sublette,2012,4,32
Sublette,2013,9,13
Sublette,2014,15,11
Sublette,2015,3,9
Sublette,2016,2,2
Sweetwater,2012,38,180
Sweetwater,2013,35,186
Sweetwater,2014,41,176
Sweetwater,2015,37,124
Sweetwater,2016,68,134
Teton,2012,7,25
Teton,2013,5,19
Teton,2014,1,21
Teton,2015,2,14
Teton,2016,12,14
Uinta,2012,0,15
Uinta,2013,2,14
Uinta,2014,0,4
Uinta,2015,1,19
Uinta,2016,4,18
Washakie,2012,,1
Washakie,2013,,8
Washakie,2014,,6
Washakie,2015,,17
Washakie,2016,,19
Weston,2012,0,8
Weston,2013,1,2
Weston,2014,0,8
Weston,2015,0,19
Weston,2016,0,12
