PLC Type,YEAR,CHINS,DE
Boys School,2012,0,112
Boys School,2013,0,111
Boys School,2014,0,103
Boys School,2015,0,105
Boys School,2016,0,106
Crisis Center,2012,22,200
Crisis Center,2013,27,240
Crisis Center,2014,37,219
Crisis Center,2015,37,213
Crisis Center,2016,42,176
Detention,2012,22,200
Detention,2013,27,240
Detention,2014,37,219
Detention,2015,37,213
Detention,2016,42,176
FC Non-Relative,2012,16,24
FC Non-Relative,2013,10,29
FC Non-Relative,2014,9,24
FC Non-Relative,2015,11,22
FC Non-Relative,2016,24,13
FC Relative,2012,1,6
FC Relative,2013,1,14
FC Relative,2014,6,11
FC Relative,2015,5,2
FC Relative,2016,4,8
Girls School,2012,0,47
Girls School,2013,0,43
Girls School,2014,0,35
Girls School,2015,0,40
Girls School,2016,0,51
Group Home,2012,42,152
Group Home,2013,41,147
Group Home,2014,40,151
Group Home,2015,55,120
Group Home,2016,70,149
Hospital,2012,1,3
Hospital,2013,2,4
Hospital,2014,2,4
Hospital,2015,2,3
Hospital,2016,3,6
Independent Living,2012,1,6
Independent Living,2013,1,8
Independent Living,2014,0,12
Independent Living,2015,0,3
Independent Living,2016,1,0
Interim,2012,0,0
Interim,2013,0,1
Interim,2014,0,1
Interim,2015,0,0
Interim,2016,0,0
Jail,2012,3,9
Jail,2013,2,7
Jail,2014,2,13
Jail,2015,2,11
Jail,2016,3,7
LG Term FC Non-Relative,2012,0,1
LG Term FC Non-Relative,2013,0,0
LG Term FC Non-Relative,2014,0,0
LG Term FC Non-Relative,2015,0,0
LG Term FC Non-Relative,2016,0,0
Psychiatric RTC,2012,20,43
Psychiatric RTC,2013,14,35
Psychiatric RTC,2014,15,32
Psychiatric RTC,2015,14,32
Psychiatric RTC,2016,26,28
Residential Treatment,2012,35,142
Residential Treatment,2013,22,121
Residential Treatment,2014,43,121
Residential Treatment,2015,34,82
Residential Treatment,2016,41,68
Runaway,2012,4,8
Runaway,2013,0,9
Runaway,2014,3,14
Runaway,2015,2,6
Runaway,2016,8,4
Specialised FC Non-Relative,2012,0,0
Specialised FC Non-Relative,2013,0,0
Specialised FC Non-Relative,2014,0,1
Specialised FC Non-Relative,2015,0,0
Specialised FC Non-Relative,2016,0,0
State Hospital,2012,0,2
State Hospital,2013,0,0
State Hospital,2014,0,1
State Hospital,2015,0,0
State Hospital,2016,0,1
Therapy FC Non-Relative,2012,0,6
Therapy FC Non-Relative,2013,0,3
Therapy FC Non-Relative,2014,0,2
Therapy FC Non-Relative,2015,0,1
Therapy FC Non-Relative,2016,0,1
Therapy FC Relative,2012,0,0
Therapy FC Relative,2013,0,1
Therapy FC Relative,2014,0,0
Therapy FC Relative,2015,0,0
Therapy FC Relative,2016,0,0
Trial Home Placement,2012,5,36
Trial Home Placement,2013,14,40
Trial Home Placement,2014,16,42
Trial Home Placement,2015,7,34
Trial Home Placement,2016,13,37
