Report Period,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,
Total Children in Care,19,25,27,30,35,38,39,47,
Total Family-like setting,1,2,2,3,3,3,3,4,
Relative foster home,0,1,1,1,1,1,1,1,
Non-relative foster home,1,1,1,2,2,2,2,3,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,0,0,0,0,0,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,18,23,25,27,32,35,36,43,
Group Home,6,8,7,8,11,12,11,7,
Residential Treatment,9,11,12,13,11,11,13,14,
Psychiatric RTC,0,0,0,0,2,3,3,3,
Boys School,2,2,3,4,3,3,3,12,
Girls School,0,1,2,2,2,4,4,7,
Detention,1,1,1,0,3,2,2,0,
Crisis Center,0,0,0,0,0,0,0,0,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Jan 31, 2012","Feb 29, 2012","Mar 31, 2012","Apr 30, 2012","May 31, 2012","Jun 30, 2012","Jul 31, 2012","Aug 31, 2012",
Report Period,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,
Total Children in Care,49,58,65,71,74,82,78,89,
Total Family-like setting,4,4,3,3,3,4,5,6,
Relative foster home,1,1,1,1,1,2,3,3,
Non-relative foster home,3,3,2,2,2,2,2,2,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,0,0,0,0,0,
Supervised Independent Living,0,0,0,0,0,0,0,1,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,45,54,62,68,71,78,73,83,
Group Home,9,11,14,16,14,18,15,17,
Residential Treatment,13,13,15,15,17,16,16,20,
Psychiatric RTC,3,3,3,3,2,2,3,3,
Boys School,12,14,20,23,25,30,29,30,
Girls School,7,7,9,10,7,9,10,12,
Detention,1,6,1,1,6,3,0,1,
Crisis Center,0,0,0,0,0,0,0,0,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Sep 30, 2012","Oct 31, 2012","Nov 30, 2012","Dec 31, 2012","Jan 31, 2013","Feb 28, 2013","Mar 31, 2013","Apr 30, 2013",
Report Period,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,
Total Children in Care,87,74,72,65,60,61,64,62,
Total Family-like setting,8,8,7,8,7,5,6,6,
Relative foster home,4,3,4,5,4,2,2,2,
Non-relative foster home,2,2,2,2,2,2,2,2,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,1,1,0,0,0,0,1,1,
Supervised Independent Living,1,2,1,1,1,1,1,1,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,79,66,65,57,53,56,58,56,
Group Home,15,11,11,12,11,18,17,12,
Residential Treatment,21,18,17,15,12,13,11,15,
Psychiatric RTC,3,3,4,4,5,5,5,5,
Boys School,26,20,20,17,17,13,16,15,
Girls School,11,13,13,8,8,6,7,7,
Detention,3,1,0,1,0,1,2,2,
Crisis Center,0,0,0,0,0,0,0,0,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"May 31, 2013","Jun 30, 2013","Jul 31, 2013","Aug 31, 2013","Sep 30, 2013","Oct 31, 2013","Nov 30, 2013","Dec 31, 2013",
Report Period,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,
Total Children in Care,63,70,72,72,75,78,72,66,
Total Family-like setting,5,5,5,2,2,2,2,3,
Relative foster home,1,1,1,1,1,1,1,0,
Non-relative foster home,2,2,2,1,1,1,1,1,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,1,1,1,0,0,0,0,2,
Supervised Independent Living,1,1,1,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,58,65,67,70,73,76,70,63,
Group Home,12,16,16,15,15,16,14,19,
Residential Treatment,16,18,18,18,18,21,18,17,
Psychiatric RTC,5,6,8,8,8,5,5,2,
Boys School,15,16,16,18,15,18,20,14,
Girls School,6,8,9,10,11,12,12,9,
Detention,4,1,0,1,6,4,1,2,
Crisis Center,0,0,0,0,0,0,0,0,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Jan 31, 2014","Feb 28, 2014","Mar 31, 2014","Apr 30, 2014","May 31, 2014","Jun 30, 2014","Jul 31, 2014","Aug 31, 2014",
Report Period,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,
Total Children in Care,66,73,80,78,69,70,72,73,
Total Family-like setting,4,4,3,3,2,2,1,1,
Relative foster home,0,0,0,0,0,0,0,0,
Non-relative foster home,1,1,1,1,0,0,0,0,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,3,3,2,2,2,1,1,1,
Supervised Independent Living,0,0,0,0,0,1,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,62,68,77,74,67,68,71,72,
Group Home,17,19,24,21,18,18,23,21,
Residential Treatment,15,17,17,18,19,21,22,23,
Psychiatric RTC,2,2,3,2,1,1,1,2,
Boys School,14,14,19,20,17,19,17,17,
Girls School,12,12,11,12,9,9,7,7,
Detention,2,4,3,1,3,0,1,0,
