period,Psychiatric RTC,Relative foster home,Supervised Independent Living,Long Term FC Non Relative,Long Term FC Relative,Interim,Boys School,State Hospital,Girls School,Total Children in Care,Hospital,Total Family-like setting,Therapeutic FC Non Relative,Specialized FC Relative,Jail,Pre-adoptive home,Crisis Center,Detention,district,Therapeutic FC Relative,Trial Home Visit,Runaway,Total Group Care,Non-relative foster home,Residential Treatment,Group Home,Specialized FC Non Relative,Unknown
Jan 2012,0,0,0,0,0,0,0,0,2,8,0,0,0,0,1,0,0,0,6,0,0,0,8,0,5,0,0,0
Feb 2012,1,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,6,0,0,0,10,0,5,0,0,0
Mar 2012,1,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,6,0,0,0,12,0,6,0,0,0
Apr 2012,1,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,6,0,0,0,12,0,6,0,0,0
May 2012,1,0,0,0,0,0,1,0,5,19,0,0,0,0,0,0,3,0,6,0,0,0,19,0,9,0,0,0
Jun 2012,1,0,0,0,0,0,2,0,6,25,0,0,0,0,0,0,2,0,6,0,0,0,25,0,11,3,0,0
Jul 2012,1,0,0,0,0,0,2,0,6,31,0,0,0,0,0,0,4,0,6,0,0,0,31,0,15,3,0,0
Aug 2012,2,0,0,0,0,0,3,0,8,37,0,0,0,0,0,0,1,0,6,0,0,0,37,0,21,2,0,0
Sep 2012,2,0,0,0,0,0,3,0,8,40,0,0,0,0,1,0,1,0,6,0,0,0,40,0,23,2,0,0
Oct 2012,3,0,0,0,0,0,4,0,8,41,0,0,0,0,0,0,0,0,6,0,0,0,41,0,25,1,0,0
Nov 2012,3,0,0,0,0,0,4,0,6,46,0,0,0,0,2,0,1,0,6,0,0,1,45,0,28,1,0,0
Dec 2012,7,0,0,0,0,0,4,0,6,53,0,0,0,0,0,0,2,0,6,0,0,1,52,0,32,1,0,0
Jan 2013,6,0,0,0,0,0,5,0,2,46,0,0,0,0,0,0,3,0,6,0,0,1,45,0,28,1,0,0
Feb 2013,7,0,0,0,0,0,5,0,2,48,0,0,0,0,1,0,4,0,6,0,0,0,48,0,28,1,0,0
