period,Long Term FC Non Relative,Total Family-like setting,State Hospital,Unknown,Hospital,Pre-adoptive home,Long Term FC Relative,Trial Home Visit,Total Children in Care,district,Detention,Group Home,Boys School,Girls School,Therapeutic FC Non Relative,Jail,Specialized FC Relative,Crisis Center,Relative foster home,Specialized FC Non Relative,Therapeutic FC Relative,Non-relative foster home,Supervised Independent Living,Total Group Care,Residential Treatment,Interim,Psychiatric RTC,Runaway
Jan 2012,0,1,0,0,0,0,0,0,3,7,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
Feb 2012,0,1,0,0,0,0,0,0,4,7,0,0,2,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0
Mar 2012,0,1,0,0,0,0,0,0,4,7,0,0,2,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0
Apr 2012,0,1,0,0,0,0,0,0,6,7,0,0,2,2,0,0,0,1,0,0,0,1,0,5,0,0,0,0
May 2012,0,0,0,0,0,0,0,0,9,7,0,1,3,2,0,0,0,1,0,0,0,0,0,9,1,0,1,0
Jun 2012,0,1,0,0,0,0,0,0,14,7,1,2,5,2,0,0,0,0,0,0,0,1,0,13,2,0,1,0
Jul 2012,0,2,0,0,0,0,0,0,19,7,2,2,8,2,0,0,0,0,0,0,0,1,1,17,2,0,1,0
Aug 2012,0,3,0,0,0,0,0,0,21,7,1,3,8,2,0,0,0,1,0,0,0,1,2,18,2,0,1,0
Sep 2012,0,3,0,0,0,0,0,0,26,7,2,4,9,3,0,0,0,1,0,0,0,1,2,23,3,0,1,0
Oct 2012,0,3,0,0,0,0,0,0,31,7,5,3,11,4,0,0,0,1,0,0,0,1,2,28,4,0,0,0
Nov 2012,0,3,0,0,0,0,0,0,32,7,0,3,14,5,0,0,0,0,0,0,0,1,2,29,6,0,1,0
Dec 2012,0,2,0,0,0,0,0,0,35,7,2,4,14,5,0,0,0,0,0,0,0,0,2,33,7,0,1,0
Jan 2013,0,1,0,0,0,0,0,0,36,7,3,3,16,4,0,0,0,1,0,0,0,0,1,35,7,0,1,0
Feb 2013,0,0,0,0,0,0,0,0,35,7,1,3,15,6,0,0,0,0,0,0,0,0,0,35,9,0,1,0
Mar 2013,0,0,0,0,0,0,0,0,38,7,0,5,16,6,0,0,0,1,0,0,0,0,0,38,9,0,1,0
Apr 2013,0,0,0,0,0,0,0,0,36,7,0,4,15,5,0,0,0,2,0,0,0,0,0,36,9,0,1,0
May 2013,0,0,0,0,1,0,0,0,36,7,4,3,13,3,0,0,0,0,0,0,0,0,0,35,10,0,1,1
Jun 2013,0,0,0,0,0,0,0,0,29,7,2,2,9,2,0,0,0,1,0,0,0,0,0,28,10,0,2,1
Jul 2013,0,1,0,0,0,0,0,0,33,7,1,2,9,2,0,0,0,3,0,0,0,0,1,31,12,0,2,1
Aug 2013,0,1,0,0,0,0,0,0,33,7,3,2,10,2,0,0,0,1,0,0,0,0,1,32,12,0,2,0
Sep 2013,0,1,0,0,0,0,0,0,37,7,1,2,14,2,0,0,0,1,0,0,0,0,1,36,14,0,2,0
Oct 2013,0,1,0,0,0,0,0,0,35,7,2,3,12,2,0,0,0,0,0,0,0,0,1,34,13,0,2,0
Nov 2013,0,1,0,0,0,0,0,0,34,7,2,2,13,2,0,0,0,0,0,0,0,0,1,33,13,0,1,0
Dec 2013,0,1,0,0,0,0,0,1,29,7,3,2,11,2,0,0,0,0,0,0,0,0,0,28,9,0,1,0
Jan 2014,0,1,0,0,0,0,0,1,26,7,4,2,8,2,0,0,0,0,0,0,0,0,0,25,8,0,1,0
Feb 2014,0,1,0,0,0,0,0,1,30,7,4,5,8,2,0,0,0,0,0,0,0,0,0,29,8,0,2,0
Mar 2014,0,0,0,0,0,0,0,0,25,7,1,10,7,0,0,0,0,0,0,0,0,0,0,25,6,0,1,0
Apr 2014,0,0,0,0,0,0,0,0,26,7,2,7,7,0,0,0,0,1,0,0,0,0,0,26,8,0,1,0
May 2014,0,2,0,0,0,0,0,0,23,7,2,6,6,0,0,0,0,1,0,0,0,1,1,21,5,0,1,0
Jun 2014,0,3,0,0,0,0,0,1,21,7,2,2,7,0,0,0,0,0,0,0,0,1,1,18,6,0,1,0
Jul 2014,0,1,0,0,0,0,0,0,19,7,0,2,9,0,0,0,0,1,0,0,0,1,0,18,5,0,1,0
Aug 2014,0,1,0,0,0,0,0,0,19,7,3,2,7,0,0,0,0,0,0,0,0,1,0,18,5,0,1,0
