period,Psychiatric RTC,Relative foster home,Supervised Independent Living,Long Term FC Non Relative,Long Term FC Relative,Interim,Boys School,State Hospital,Girls School,Total Children in Care,Hospital,Total Family-like setting,Therapeutic FC Non Relative,Specialized FC Relative,Jail,Pre-adoptive home,Crisis Center,Detention,district,Therapeutic FC Relative,Trial Home Visit,Runaway,Total Group Care,Non-relative foster home,Residential Treatment,Group Home,Specialized FC Non Relative,Unknown
Jan 2012,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,9,0,3,5,0,0
Feb 2012,1,0,0,0,0,0,1,0,0,9,0,1,0,0,0,0,0,0,9,0,0,0,8,1,2,4,0,0
Mar 2012,1,0,0,0,0,0,1,0,0,10,0,1,0,0,0,0,0,0,9,0,0,0,9,1,3,4,0,0
Apr 2012,1,0,0,0,0,0,1,0,0,12,0,1,0,0,0,0,0,2,9,0,0,0,11,1,3,4,0,0
May 2012,1,0,0,0,0,0,1,0,0,14,0,2,1,0,0,0,1,0,9,0,0,1,11,1,5,3,0,0
Jun 2012,1,0,0,0,0,0,2,0,0,16,0,2,1,0,0,0,1,0,9,0,0,1,13,1,6,3,0,0
Jul 2012,2,0,0,0,0,0,3,0,0,18,0,2,1,0,0,0,1,0,9,0,0,1,15,1,6,3,0,0
Aug 2012,2,0,0,0,0,0,4,0,0,22,0,2,1,0,0,0,1,0,9,0,0,1,19,1,7,5,0,0
Sep 2012,3,0,0,0,0,0,4,0,0,24,0,1,1,0,0,0,0,2,9,0,0,1,22,0,7,6,0,0
Oct 2012,2,0,0,0,0,0,6,0,0,31,1,2,1,0,0,0,1,1,9,0,1,0,29,0,10,8,0,0
Nov 2012,2,0,0,0,0,0,6,0,1,34,2,1,1,0,0,0,1,2,9,0,0,1,32,0,11,7,0,0
Dec 2012,3,0,0,0,0,0,5,0,1,39,1,1,1,0,1,0,1,2,9,0,0,1,37,0,11,12,0,0
Jan 2013,3,0,0,0,0,0,5,0,1,34,0,1,1,0,0,0,1,1,9,0,0,1,32,0,11,10,0,0
Feb 2013,4,0,0,0,0,0,6,0,1,35,0,2,1,0,0,0,0,0,9,0,1,1,32,0,11,10,0,0
Mar 2013,4,0,0,0,0,0,4,0,1,30,0,3,1,0,0,0,0,0,9,0,2,1,26,0,8,9,0,0
Apr 2013,5,0,0,0,0,0,5,0,1,32,0,4,1,0,0,0,2,0,9,0,3,0,28,0,8,7,0,0
May 2013,3,1,0,0,0,0,4,0,1,27,0,4,1,0,0,0,0,0,9,0,2,0,23,0,5,10,0,0
Jun 2013,3,1,0,0,0,0,4,0,1,25,0,5,1,0,0,0,0,1,9,0,3,0,19,0,5,5,0,1
Jul 2013,3,0,0,0,0,0,3,0,1,23,0,2,1,0,0,0,0,0,9,0,1,0,20,0,5,8,0,1
Aug 2013,2,0,0,0,0,0,3,0,1,18,0,3,1,0,0,0,0,0,9,0,2,1,13,0,3,4,0,1
Sep 2013,2,0,0,0,0,0,3,0,0,18,0,1,0,0,0,0,0,3,9,0,1,0,16,0,3,5,0,1
Oct 2013,1,0,0,0,0,0,4,0,0,15,0,1,0,0,0,0,0,1,9,0,1,0,13,0,2,5,0,1
Nov 2013,1,0,0,0,0,0,6,0,0,15,0,0,0,0,0,0,0,0,9,0,0,0,14,0,2,5,0,1
Dec 2013,1,0,0,0,0,0,6,0,0,19,1,0,0,0,0,0,0,1,9,0,0,0,18,0,2,7,0,1
Jan 2014,2,0,0,0,0,0,7,0,0,22,0,0,0,0,0,0,0,0,9,0,0,0,21,0,3,9,0,1
Feb 2014,4,0,0,0,0,0,8,0,0,26,0,0,0,0,0,0,0,1,9,0,0,0,26,0,3,10,0,0
Mar 2014,1,0,0,0,0,0,9,0,0,28,0,0,0,0,0,0,0,1,9,0,0,0,28,0,6,11,0,0
Apr 2014,1,0,0,0,0,0,9,0,0,28,0,0,0,0,0,0,0,2,9,0,0,0,28,0,6,10,0,0
May 2014,1,1,0,0,0,0,7,0,1,26,0,1,0,0,0,0,0,2,9,0,0,0,25,0,5,9,0,0
Jun 2014,1,1,0,0,0,0,6,0,1,25,0,1,0,0,0,0,0,2,9,0,0,0,24,0,6,8,0,0
Jul 2014,1,2,0,0,0,0,6,0,1,25,0,2,0,0,0,0,0,0,9,0,0,0,23,0,9,6,0,0
Aug 2014,1,1,1,0,0,0,6,0,1,24,0,3,0,0,0,0,0,0,9,0,1,0,21,0,7,6,0,0
Sep 2014,1,1,1,0,0,0,6,0,1,26,0,4,0,0,0,0,0,1,9,0,2,0,22,0,7,6,0,0
Oct 2014,1,1,0,0,0,0,6,0,1,27,0,2,0,0,0,0,0,2,9,0,1,1,24,0,5,9,0,0
Nov 2014,1,0,0,0,0,0,7,0,1,28,0,2,0,0,0,0,0,4,9,0,2,1,25,0,6,6,0,0
Dec 2014,1,0,0,0,0,0,7,0,1,24,0,2,0,0,0,0,0,2,9,0,2,0,22,0,5,6,0,0
Jan 2015,2,0,0,0,0,0,8,0,1,25,0,1,0,0,0,0,0,2,9,0,1,0,24,0,4,7,0,0
Feb 2015,3,0,0,0,0,0,8,0,1,24,0,1,0,0,0,0,0,1,9,0,1,0,23,0,3,7,0,0
Mar 2015,4,0,0,0,0,0,8,0,1,23,0,0,0,0,0,0,0,0,9,0,0,0,23,0,3,7,0,0
