period,district,Long Term FC Non Relative,Total Family-like setting,State Hospital,Unknown,Hospital,Pre-adoptive home,Long Term FC Relative,Trial Home Visit,Total Children in Care,Detention,Group Home,Boys School,Girls School,Therapeutic FC Non Relative,Jail,Specialized FC Relative,Crisis Center,Relative foster home,Specialized FC Non Relative,Therapeutic FC Relative,Non-relative foster home,Supervised Independent Living,Total Group Care,Residential Treatment,Interim,Psychiatric RTC,Runaway
Jan 2012,3,0,1,0,0,0,0,0,0,19,1,6,2,0,0,0,0,0,0,0,0,1,0,18,9,0,0,0
Feb 2012,3,0,2,0,0,0,0,0,0,25,1,8,2,1,0,0,0,0,1,0,0,1,0,23,11,0,0,0
Mar 2012,3,0,2,0,0,0,0,0,0,27,1,7,3,2,0,0,0,0,1,0,0,1,0,25,12,0,0,0
Apr 2012,3,0,3,0,0,0,0,0,0,30,0,8,4,2,0,0,0,0,1,0,0,2,0,27,13,0,0,0
May 2012,3,0,3,0,0,0,0,0,0,35,3,11,3,2,0,0,0,0,1,0,0,2,0,32,11,0,2,0
Jun 2012,3,0,3,0,0,0,0,0,0,38,2,12,3,4,0,0,0,0,1,0,0,2,0,35,11,0,3,0
Jul 2012,3,0,3,0,0,0,0,0,0,39,2,11,3,4,0,0,0,0,1,0,0,2,0,36,13,0,3,0
Aug 2012,3,0,4,0,0,0,0,0,0,47,0,7,12,7,0,0,0,0,1,0,0,3,0,43,14,0,3,0
Sep 2012,3,0,4,0,0,0,0,0,0,49,1,9,12,7,0,0,0,0,1,0,0,3,0,45,13,0,3,0
Oct 2012,3,0,4,0,0,0,0,0,0,58,6,11,14,7,0,0,0,0,1,0,0,3,0,54,13,0,3,0
Nov 2012,3,0,3,0,0,0,0,0,0,65,1,14,20,9,0,0,0,0,1,0,0,2,0,62,15,0,3,0
Dec 2012,3,0,3,0,0,0,0,0,0,71,1,16,23,10,0,0,0,0,1,0,0,2,0,68,15,0,3,0
Jan 2013,3,0,3,0,0,0,0,0,0,74,6,14,25,7,0,0,0,0,1,0,0,2,0,71,17,0,2,0
Feb 2013,3,0,4,0,0,0,0,0,0,82,3,18,30,9,0,0,0,0,2,0,0,2,0,78,16,0,2,0
Mar 2013,3,0,5,0,0,0,0,0,0,78,0,15,29,10,0,0,0,0,3,0,0,2,0,73,16,0,3,0
Apr 2013,3,0,6,0,0,0,0,0,0,89,1,17,30,12,0,0,0,0,3,0,0,2,1,83,20,0,3,0
May 2013,3,0,8,0,0,0,0,0,1,87,3,15,26,11,0,0,0,0,4,0,0,2,1,79,21,0,3,0
Jun 2013,3,0,8,0,0,0,0,0,1,74,1,11,20,13,0,0,0,0,3,0,0,2,2,66,18,0,3,0
Jul 2013,3,0,7,0,0,0,0,0,0,72,0,11,20,13,0,0,0,0,4,0,0,2,1,65,17,0,4,0
Aug 2013,3,0,8,0,0,0,0,0,0,65,1,12,17,8,0,0,0,0,5,0,0,2,1,57,15,0,4,0
Sep 2013,3,0,7,0,0,0,0,0,0,60,0,11,17,8,0,0,0,0,4,0,0,2,1,53,12,0,5,0
Oct 2013,3,0,5,0,0,0,0,0,0,61,1,18,13,6,0,0,0,0,2,0,0,2,1,56,13,0,5,0
Nov 2013,3,0,6,0,0,0,0,0,1,64,2,17,16,7,0,0,0,0,2,0,0,2,1,58,11,0,5,0
Dec 2013,3,0,6,0,0,0,0,0,1,62,2,12,15,7,0,0,0,0,2,0,0,2,1,56,15,0,5,0
Jan 2014,3,0,5,0,0,0,0,0,1,63,4,12,15,6,0,0,0,0,1,0,0,2,1,58,16,0,5,0
Feb 2014,3,0,5,0,0,0,0,0,1,70,1,16,16,8,0,0,0,0,1,0,0,2,1,65,18,0,6,0
Mar 2014,3,0,5,0,0,0,0,0,1,72,0,16,16,9,0,0,0,0,1,0,0,2,1,67,18,0,8,0
Apr 2014,3,0,2,0,0,0,0,0,0,72,1,15,18,10,0,0,0,0,1,0,0,1,0,70,18,0,8,0
May 2014,3,0,2,0,0,0,0,0,0,75,6,15,15,11,0,0,0,0,1,0,0,1,0,73,18,0,8,0
Jun 2014,3,0,2,0,0,0,0,0,0,78,4,16,18,12,0,0,0,0,1,0,0,1,0,76,21,0,5,0
Jul 2014,3,0,2,0,0,0,0,0,0,72,1,14,20,12,0,0,0,0,1,0,0,1,0,70,18,0,5,0
Aug 2014,3,0,3,0,0,0,0,0,2,66,2,19,14,9,0,0,0,0,0,0,0,1,0,63,17,0,2,0
Sep 2014,3,0,4,0,0,0,0,0,3,66,2,17,14,12,0,0,0,0,0,0,0,1,0,62,15,0,2,0
Oct 2014,3,0,4,0,0,0,0,0,3,73,4,19,14,12,0,0,0,0,0,0,0,1,0,68,17,0,2,1
Nov 2014,3,0,3,0,0,0,0,0,2,80,3,24,19,11,0,0,0,0,0,0,0,1,0,77,17,0,3,0
Dec 2014,3,0,3,0,0,0,0,0,2,78,1,21,20,12,0,0,0,0,0,0,0,1,0,74,18,0,2,1
Jan 2015,3,0,2,0,0,0,0,0,2,69,3,18,17,9,0,0,0,0,0,0,0,0,0,67,19,0,1,0
Feb 2015,3,0,2,0,0,0,0,0,1,70,0,18,19,9,0,0,0,0,0,0,0,0,1,68,21,0,1,0
Mar 2015,3,0,1,0,0,0,0,0,1,72,1,23,17,7,0,0,0,0,0,0,0,0,0,71,22,0,1,0
Apr 2015,3,0,1,0,0,1,0,0,1,73,0,21,17,7,0,0,0,1,0,0,0,0,0,72,23,0,2,0
May 2015,3,0,1,0,0,0,0,0,1,72,2,23,14,6,0,0,0,1,0,0,0,0,0,71,23,0,2,0
Jun 2015,3,0,1,0,0,0,0,0,0,62,0,19,17,4,0,0,0,1,1,0,0,0,0,61,17,0,3,0
Jul 2015,3,0,1,0,0,0,0,0,0,60,0,15,15,5,0,0,0,1,1,0,0,0,0,59,19,0,4,0
Aug 2015,3,0,1,0,0,1,0,0,0,52,3,9,14,2,0,0,0,1,1,0,0,0,0,50,18,0,2,1
Sep 2015,3,0,1,0,0,1,0,0,0,57,3,11,19,2,0,0,0,2,1,0,0,0,0,56,15,0,3,0
Oct 2015,3,0,2,0,0,0,0,0,1,60,1,13,21,3,0,0,0,1,1,0,0,0,0,58,16,0,3,0
Nov 2015,3,0,1,0,0,0,0,0,0,63,2,14,20,7,0,0,0,1,1,0,0,0,0,61,13,0,4,1
Dec 2015,3,0,1,0,0,0,0,0,0,64,2,17,19,8,0,0,0,1,1,0,0,0,0,63,13,0,3,0
Jan 2016,3,0,1,0,0,0,0,0,1,59,1,17,18,9,0,0,0,1,0,0,0,0,0,58,9,0,3,0
