period,Total Children in Care,Psychiatric RTC,Relative foster home,Supervised Independent Living,Long Term FC Non Relative,Long Term FC Relative,Interim,Boys School,State Hospital,Girls School,Hospital,Total Family-like setting,Therapeutic FC Non Relative,Specialized FC Relative,Jail,Pre-adoptive home,Crisis Center,Detention,district,Therapeutic FC Relative,Trial Home Visit,Runaway,Total Group Care,Non-relative foster home,Residential Treatment,Group Home,Specialized FC Non Relative,Unknown
Jan 2012,8,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,6,0,0,0,8,0,5,0,0,0
Feb 2012,10,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,10,0,5,0,0,0
Mar 2012,12,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,12,0,6,0,0,0
Apr 2012,12,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,12,0,6,0,0,0
May 2012,19,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,3,0,6,0,0,0,19,0,9,0,0,0
Jun 2012,25,1,0,0,0,0,0,2,0,6,0,0,0,0,0,0,2,0,6,0,0,0,25,0,11,3,0,0
Jul 2012,31,1,0,0,0,0,0,2,0,6,0,0,0,0,0,0,4,0,6,0,0,0,31,0,15,3,0,0
Aug 2012,37,2,0,0,0,0,0,3,0,8,0,0,0,0,0,0,1,0,6,0,0,0,37,0,21,2,0,0
Sep 2012,40,2,0,0,0,0,0,3,0,8,0,0,0,0,1,0,1,0,6,0,0,0,40,0,23,2,0,0
Oct 2012,41,3,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,6,0,0,0,41,0,25,1,0,0
Nov 2012,46,3,0,0,0,0,0,4,0,6,0,0,0,0,2,0,1,0,6,0,0,1,45,0,28,1,0,0
Dec 2012,53,7,0,0,0,0,0,4,0,6,0,0,0,0,0,0,2,0,6,0,0,1,52,0,32,1,0,0
Jan 2013,46,6,0,0,0,0,0,5,0,2,0,0,0,0,0,0,3,0,6,0,0,1,45,0,28,1,0,0
Feb 2013,48,7,0,0,0,0,0,5,0,2,0,0,0,0,1,0,4,0,6,0,0,0,48,0,28,1,0,0
Mar 2013,45,7,0,0,0,0,0,4,0,3,0,1,0,0,1,0,1,0,6,0,0,0,44,1,27,1,0,0
Apr 2013,54,7,0,0,0,0,0,5,0,4,0,1,0,0,1,0,2,0,6,0,0,0,53,1,30,4,0,0
May 2013,50,7,0,0,0,0,0,7,0,3,0,1,0,0,1,0,0,0,6,0,0,0,49,1,26,5,0,0
Jun 2013,47,6,0,0,0,0,0,5,0,4,0,1,0,0,1,0,2,0,6,0,0,0,46,1,24,4,0,0
Jul 2013,40,5,0,0,0,0,0,5,0,4,0,1,0,0,0,0,3,0,6,0,0,0,39,1,20,2,0,0
Aug 2013,38,6,0,0,0,0,0,5,0,3,0,2,0,0,0,0,3,0,6,0,0,0,36,2,17,2,0,0
Sep 2013,35,5,0,0,0,0,0,5,0,3,0,1,0,0,1,0,3,0,6,0,0,0,34,1,16,1,0,0
Oct 2013,31,2,1,0,0,0,0,4,0,1,0,3,0,0,1,0,2,0,6,0,0,0,28,2,15,3,0,0
Nov 2013,34,2,1,0,0,0,0,4,0,1,0,3,0,0,0,0,3,1,6,0,0,0,31,2,17,3,0,0
Dec 2013,30,2,1,0,0,0,0,1,0,1,0,3,0,0,0,0,4,0,6,0,0,0,27,2,17,2,0,0
Jan 2014,30,1,1,0,0,0,0,1,0,0,0,4,0,0,0,0,3,2,6,0,0,0,26,3,15,4,0,0
Feb 2014,27,2,1,0,0,0,0,1,0,0,0,4,0,0,0,0,3,0,6,0,0,0,23,3,15,2,0,0
Mar 2014,31,2,1,0,0,0,0,2,0,1,0,3,0,0,1,0,6,1,6,0,0,0,28,2,15,0,0,0
Apr 2014,25,3,1,0,0,0,0,3,0,1,0,2,0,0,0,0,3,0,6,0,0,0,23,1,13,0,0,0
May 2014,30,3,0,0,0,0,0,3,0,1,0,1,0,0,0,0,5,2,6,0,0,0,29,1,13,2,0,0
Jun 2014,31,4,1,0,0,0,0,5,0,1,0,2,0,0,1,0,6,0,6,0,0,0,29,1,11,1,0,0
Jul 2014,33,4,1,0,0,0,0,4,0,2,0,2,0,0,1,0,4,1,6,0,1,0,31,0,13,2,0,0
Aug 2014,35,3,1,0,0,0,0,3,0,2,0,3,0,0,2,0,4,1,6,0,1,0,32,1,13,4,0,0
Sep 2014,38,3,1,0,0,0,0,7,0,2,0,3,0,0,0,0,3,1,6,0,0,0,35,2,13,6,0,0
Oct 2014,41,4,1,0,0,0,0,8,0,2,0,3,0,0,0,0,4,1,6,0,0,0,38,2,14,5,0,0
Nov 2014,34,2,0,0,0,0,0,9,0,2,0,2,0,0,0,0,3,1,6,0,0,0,32,2,13,2,0,0
Dec 2014,34,1,0,0,0,0,0,11,0,2,0,1,0,0,1,0,4,1,6,0,0,0,33,1,11,2,0,0
Jan 2015,36,2,0,0,0,0,0,12,0,2,0,2,0,0,1,0,3,0,6,0,1,0,34,1,13,1,0,0
Feb 2015,37,3,0,0,0,0,0,12,0,3,0,1,0,0,0,0,2,1,6,0,0,0,36,1,14,1,0,0
Mar 2015,40,4,0,0,0,0,0,12,0,4,0,1,0,0,0,0,3,1,6,0,0,0,39,1,13,2,0,0
Apr 2015,40,5,0,0,0,0,0,12,0,5,0,1,0,0,0,0,2,0,6,0,0,0,39,1,13,2,0,0
