Year,period,Total Children in Care,Psychiatric RTC,Relative foster home,Supervised Independent Living,Long Term FC Non Relative,Long Term FC Relative,Interim,Boys School,State Hospital,Girls School,Hospital,Total Family-like setting,Therapeutic FC Non Relative,Specialized FC Relative,Jail,Pre-adoptive home,Crisis Center,Detention,district,Therapeutic FC Relative,Trial Home Visit,Runaway,Total Group Care,Non-relative foster home,Residential Treatment,Group Home,Specialized FC Non Relative,Unknown
2012,Jan 2012,19,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,1,0,15,3,13,0,0,0
2012,Feb 2012,21,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,18,3,17,0,0,0
2012,Mar 2012,27,1,1,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1,1,0,0,0,22,4,19,0,0,0
2012,Apr 2012,30,2,1,0,0,0,0,0,0,2,0,6,0,0,0,0,0,2,1,0,0,0,24,5,18,0,0,0
2012,May 2012,33,2,1,0,0,0,0,1,0,2,0,6,0,0,0,0,0,2,1,0,0,0,27,5,20,0,0,0
2012,Jun 2012,36,3,1,0,0,0,0,3,0,2,0,7,0,0,0,0,1,2,1,0,0,0,29,6,18,0,0,0
2012,Jul 2012,38,4,1,0,0,0,0,4,0,2,0,6,0,0,0,0,0,3,1,0,0,0,32,5,19,0,0,0
2012,Aug 2012,41,8,1,0,0,0,0,6,0,2,0,6,0,0,0,0,0,1,1,0,0,0,35,5,18,0,0,0
2012,Sep 2012,43,8,1,0,0,0,0,6,0,2,0,6,0,0,0,0,0,3,1,0,0,0,37,5,18,0,0,0
2012,Oct 2012,46,10,0,0,0,0,0,6,0,2,0,5,0,0,0,0,0,2,1,0,0,0,41,5,21,0,0,0
2012,Nov 2012,55,12,0,0,0,0,0,6,0,2,0,7,0,0,0,0,0,5,1,0,0,0,48,7,23,0,0,0
2012,Dec 2012,60,11,0,0,0,0,0,7,0,2,0,6,0,0,0,0,2,7,1,0,0,0,54,6,25,0,0,0
2013,Jan 2013,57,11,0,0,0,0,0,9,0,1,0,7,0,0,0,0,0,5,1,0,0,0,50,7,23,1,0,0
2013,Feb 2013,56,11,1,0,0,0,0,7,0,1,0,8,0,0,0,0,0,7,1,0,0,0,48,7,22,0,0,0
2013,Mar 2013,60,7,0,0,0,0,0,7,0,3,0,11,0,0,0,0,0,8,1,0,1,0,49,10,23,1,0,0
2013,Apr 2013,62,6,0,0,0,0,0,7,0,5,0,9,0,0,0,0,0,10,1,0,1,0,53,8,24,1,0,0
2013,May 2013,70,5,0,0,0,0,0,13,0,5,0,10,0,0,0,0,0,8,1,0,2,1,59,8,27,1,0,0
2013,Jun 2013,76,6,0,0,0,0,0,13,0,5,0,10,0,0,0,0,0,9,1,0,1,0,66,9,32,1,0,0
2013,Jul 2013,80,8,0,0,0,0,0,15,0,5,0,10,0,0,0,0,0,8,1,0,3,0,70,7,33,1,0,0
2013,Aug 2013,70,7,0,0,0,0,0,12,0,4,0,9,0,0,0,0,1,5,1,0,1,0,61,8,31,1,0,0
2013,Sep 2013,61,7,0,0,0,0,0,14,0,4,0,5,0,0,0,0,1,1,1,0,0,0,56,5,28,1,0,0
2013,Oct 2013,60,8,0,0,0,0,0,11,0,2,0,7,0,0,0,0,0,5,1,0,1,0,53,6,26,1,0,0
2013,Nov 2013,59,6,0,0,0,0,0,12,0,2,0,7,0,0,0,0,0,8,1,0,0,0,52,7,24,0,0,0
2013,Dec 2013,56,6,0,0,0,0,0,10,0,1,0,5,0,0,0,0,1,8,1,0,0,0,51,5,25,0,0,0
2014,Jan 2014,56,5,0,0,0,0,0,9,0,2,1,7,0,0,0,0,1,9,1,0,1,0,49,6,22,0,0,0
2014,Feb 2014,61,6,0,0,0,0,0,11,0,2,1,6,0,0,0,0,0,9,1,0,1,1,54,5,24,1,0,0
2014,Mar 2014,64,6,0,1,0,0,0,10,0,3,1,8,0,0,0,0,0,11,1,0,1,2,54,6,21,2,0,0
2014,Apr 2014,65,6,0,1,0,0,0,12,0,4,1,10,0,0,0,0,0,8,1,0,1,1,54,8,22,1,0,0
2014,May 2014,58,6,0,1,0,0,0,9,0,5,1,10,0,0,0,0,0,3,1,0,0,0,48,9,23,1,0,0
2014,Jun 2014,55,6,0,0,0,0,0,9,0,6,0,8,0,0,0,0,0,6,1,0,1,0,47,7,19,1,0,0
2014,Jul 2014,53,6,0,0,0,0,0,7,0,6,0,5,0,0,0,0,0,8,1,0,0,2,46,5,18,1,0,0
2014,Aug 2014,50,4,0,0,0,0,0,8,0,6,0,5,0,0,0,0,1,5,1,0,1,3,42,4,17,1,0,0
2014,Sep 2014,55,3,1,0,0,0,0,9,0,6,0,6,0,0,0,0,0,11,1,0,1,2,47,4,17,1,0,0
2014,Oct 2014,56,4,1,0,0,0,0,7,0,6,0,5,0,0,0,0,1,9,1,0,1,2,49,3,21,1,0,0
2014,Nov 2014,58,5,0,0,0,0,0,7,0,7,0,3,0,0,0,0,0,11,1,0,1,2,53,2,22,1,0,0
2014,Dec 2014,59,3,0,0,0,0,0,7,0,6,0,5,0,0,0,0,0,13,1,0,2,2,52,3,23,0,0,0
2015,Jan 2015,57,2,0,0,0,0,0,6,0,5,0,5,0,0,0,0,1,19,1,0,1,1,51,4,18,0,0,0
2015,Feb 2015,61,5,0,0,0,0,0,9,0,6,0,4,0,0,0,0,3,10,1,0,0,1,56,4,23,0,0,0
2015,Mar 2015,63,5,0,0,0,0,0,10,0,5,0,4,0,0,0,0,2,13,1,0,0,0,59,4,24,0,0,0
2015,Apr 2015,62,5,0,0,0,0,0,8,0,5,0,4,0,0,0,0,2,11,1,0,0,0,58,4,27,0,0,0
2015,May 2015,59,4,1,0,0,0,0,9,0,5,0,5,0,0,0,0,0,11,1,0,0,0,54,4,25,0,0,0
2015,Jun 2015,54,3,1,0,0,0,0,11,0,5,0,6,0,0,0,0,0,8,1,0,0,0,48,5,21,0,0,0
2015,Jul 2015,62,6,1,0,0,0,0,12,0,5,0,6,0,0,0,0,0,11,1,0,0,0,56,5,21,1,0,0
2015,Aug 2015,53,3,1,0,0,0,0,10,0,5,0,9,0,0,0,0,0,4,1,0,0,0,44,8,21,1,0,0
2015,Sep 2015,57,4,1,0,0,0,0,10,0,5,0,8,0,0,0,0,0,8,1,0,0,0,49,7,21,1,0,0
2015,Oct 2015,57,2,2,0,0,0,0,12,0,4,0,9,0,0,0,0,0,9,1,0,0,1,47,7,19,1,0,0
2015,Nov 2015,56,3,2,0,0,0,0,11,0,4,0,9,0,0,0,0,0,11,1,0,0,1,46,7,16,1,0,0
2015,Dec 2015,58,2,2,0,0,0,0,14,0,3,0,10,0,0,0,0,0,10,1,0,0,1,47,8,17,1,0,0
2016,Jan 2016,56,5,2,1,0,0,0,14,0,2,0,12,0,0,0,0,0,6,1,0,0,1,43,9,15,1,0,0
2016,Feb 2016,58,5,2,1,0,0,0,13,0,2,0,11,0,0,0,0,1,8,1,0,0,0,47,8,16,2,0,0
2016,Mar 2016,56,4,2,0,0,0,0,11,0,3,0,11,0,0,0,0,0,9,1,0,0,2,43,9,15,1,0,0
