Year,Reporting Counties,"2001 Population Estimates","2001 Population Estimates","2001 Population Estimates",Delinquency,Delinquency,Status,Status,Dependency,Dependency
Year,County Name,"Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition"
2001,"Albany","31,800","2,500","5,700","27","--","7","--","15","--"
2001,"Big Horn","11,300","1,600","3,100","22","--","0","--","8","--"
2001,"Campbell","34,700","5,200","10,300","40","--","8","--","15","--"
2001,"Carbon","15,300","1,800","3,500","14","--","7","--","13","--"
2001,"Converse","12,100","1,700","3,200","24","--","*","--","12","--"
2001,"Crook","5,800","800","1,400","8","--","0","--","*","--"
2001,"Fremont","35,800","4,700","9,500","39","--","0","--","25","--"
2001,"Goshen","12,500","1,500","2,900","10","--","7","--","11","--"
2001,"Hot Springs","4,800","600","1,000","7","--","*","--","*","--"
2001,"Johnson","7,200","800","1,600","17","--","*","--","*","--"
2001,"Laramie","82,400","9,700","20,900","199","--","37","--","35","--"
2001,"Lincoln","14,700","2,200","4,300","18","--","9","--","6","--"
2001,"Natrona","66,900","8,100","16,900","82","--","16","--","45","--"
2001,"Niobrara","2,300","300","500","*","--","*","--","*","--"
2001,"Park","25,800","3,100","6,000","74","--","5","--","29","--"
2001,"Platte","8,800","1,100","2,100","24","--","7","--","10","--"
2001,"Sheridan","26,700","3,200","6,200","30","--","40","--","26","--"
2001,"Sublette","5,900","800","1,400","6","--","0","--","0","--"
2001,"Sweetwater","36,800","5,000","10,100","162","--","31","--","17","--"
2001,"Teton","18,500","1,700","3,600","23","--","*","--","6","--"
2001,"Uinta","19,500","3,200","6,300","33","--","5","--","9","--"
2001,"Washakie","8,100","1,100","2,100","33","--","9","--","*","--"
2001,"Weston","6,500","800","1,500","9","--","*","--","0","--"
2001,
