"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 23"

,"2010 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Albany","36,400","2,400","6,100","24","--","*","--","--","--","--"
"Big Horn","11,700","1,400","3,000","10","--","5","--","--","--","--"
"Campbell","46,200","5,400","13,000","93","--","32","--","--","--","--"
"Carbon","15,800","1,600","3,700","21","--","9","--","--","--","--"
"Converse","13,800","1,600","3,500","45","--","13","--","--","--","--"
"Crook","7,100","700","1,700","11","--","*","--","--","--","--"
"Fremont","40,200","4,200","10,300","39","--","6","--","--","--","--"
"Goshen","13,400","1,300","2,700","27","--","12","--","--","--","--"
"Hot Springs","4,800","400","1,000","9","--","*","--","--","--","--"
"Johnson","8,600","800","1,900","6","--","7","--","--","--","--"
"Laramie","92,200","9,500","22,400","133","--","26","--","--","--","--"
"Lincoln","18,100","2,300","5,100","25","--","0","--","--","--","--"
"Natrona","75,500","7,700","18,000","66","--","30","--","--","--","--"
"Niobrara","2,500","200","500","*","--","0","--","--","--","--"
"Park","28,300","2,700","5,900","46","--","*","--","--","--","--"
"Platte","8,700","900","1,800","36","--","5","--","--","--","--"
"Sheridan","29,100","2,900","6,500","18","--","18","--","--","--","--"
"Sublette","10,200","1,000","2,400","14","--","5","--","--","--","--"
"Sweetwater","43,600","4,800","11,800","90","--","21","--","--","--","--"
"Teton","21,300","1,700","4,100","*","--","*","--","--","--","--"
"Uinta","21,100","2,800","6,400","19","--","*","--","--","--","--"
"Washakie","8,500","1,000","2,200","11","--","5","--","--","--","--"
"Weston","7,200","700","1,600","8","--","*","--","--","--","--"

"Number of Reported Cases",,,,"757","--","210","--","--","--","--"
"Population Represented","564,400","57,900","135,400","57,900","--","57,900","--","--","--","--"
"Rates for Reporting Counties",,,,"13.07","--","3.63","--","--","--","--"
"Number of Reporting Counties",,,,"23","--","23","--","--","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"Source: Wyoming District Court"
"1. Delinquency figures are cases petitioned for fiscal year 2010."
"2. Status figures are cases petitioned for fiscal year 2010."

"Suggested citation:Hockenberry, S., Smith, J., and Kang, W. (2018)."
"Easy Access to State and County Juvenile Court Case Counts, 2015. Online. Available: http://www.ojjdp.gov/ojstatbb/ezaco/."
