"COMMUTING
  TO OR FROM A DIFFERENT COUNTY OR STATE FOR WORK2",Number,Percent,Number,Percent
"Total
  Commuting Out","1,164",100.0,"22,542",100.0
"to Laramie County, WY",486,41.8,"3,569",15.8
"to Carbon County, WY",99,8.5,789,3.5
"to Platte County, WY",99,8.5,600,2.7
"to Adams County, CO",86,7.4,115,0.5
"to Larimer County, CO",66,5.7,386,1.7
to All Other Counties,328,28.2,"17,083",75.8

"Total
  Commuting In",906,100.0,"29,946",100.0
"from Laramie County, WY",295,32.6,"2,069",6.9
"from Larimer County, CO",265,29.2,"1,395",4.7
"from Carbon County, WY",59,6.5,682,2.3
"from Jefferson County, CO",34,3.8,169,0.6
"from Boulder County, CO",27,3.0,127,0.4
from All Other Counties,226,24.9,"25,504",85.2

