EDUCATIONAL ATTAINMENT2,Number,Percent,Number,Percent
"Population
  25 years and over","19,493",100.0,"371,096",100.0
Less than 9th grade,279,1.4,"8,661",2.3
"9th to 12th grade, no diploma",545,2.8,"20,726",5.6
"High school graduate (includes
  equivalency)","3,120",16.0,"113,353",30.5
"Some college, no degree","4,267",21.9,"101,199",27.3
Associate's degree,"1,909",9.8,"37,126",10.0
Bachelor's degree,"5,211",26.7,"60,011",16.2
Graduate or professional degree,"4,162",21.4,"30,020",8.1

"Percent
  high school graduate or higher",(X),95.8,(X),92.1
"Percent
  bachelor's degree or higher",(X),48.1,(X),24.3

