"FAMILIES
  AND PEOPLE WHOSE INCOME IS BELOW THE POVERTY LEVEL2",Number,Percent,Number,Percent
"All
  families",849,11.8,"10,532",7.2
With related children under 18 years,644,21.1,"8,494",12.4
Married couple families,347,5.9,"4,139",3.5
With related children under 18 years,217,9.5,"2,719",5.7
"Families with female householder, no husband
  present",357,41.5,"5,472",28.4
With related children under 18 years,296,56.6,"4,982",36.2

"All
  people","8,797",26.2,"60,636",11.0
Under 18 years,"1,360",23.1,"19,470",14.7
18 to 64 years,"7,266",29.5,"36,902",10.6
65 years and over,171,5.5,"4,264",6.3

