"HOME
  VALUE2",Number,Percent,Number,Percent
"Owner-occupied
  units","7,620",100.0,"155,659",100.0
"Less than $50,000",760,10.0,"16,506",10.6
"$50,000 to $99,999",407,5.3,"14,553",9.3
"$100,000 to $149,999","1,077",14.1,"23,529",15.1
"$150,000 to $199,999","1,570",20.6,"32,655",21.0
"$200,000 to $299,999","1,976",25.9,"38,465",24.7
"$300,000 to $499,999","1,312",17.2,"20,225",13.0
"$500,000 to $999,999",356,4.7,"6,826",4.4
"$1,000,000 or more",162,2.1,"2,900",1.9
Median (dollars),"$199,900",(X),"$184,400",(X)

