POPULATION - AGE/SEX1,Number,Percent,Number,Percent
Total,"37,276",100.0,"576,412",100.0
Male,"19,349",51.9,"294,281",51.1
Female,"17,927",48.1,"282,131",48.9

Under 5 years,"1,993",5.3,"38,592",6.7
5 to 9 years,"1,677",4.5,"38,895",6.7
10 to 14 years,"1,462",3.9,"36,286",6.3
15 to 19 years,"3,310",8.9,"37,270",6.5
20 to 24 years,"8,465",22.7,"42,591",7.4
25 to 29 years,"3,561",9.6,"41,306",7.2
30 to 34 years,"2,572",6.9,"39,793",6.9
35 to 39 years,"1,795",4.8,"34,061",5.9
40 to 44 years,"1,692",4.5,"34,207",5.9
45 to 49 years,"1,562",4.2,"35,794",6.2
50 to 54 years,"1,927",5.2,"43,170",7.5
55 to 59 years,"2,083",5.6,"43,260",7.5
60 to 64 years,"1,781",4.8,"35,679",6.2
65 to 69 years,"1,211",3.2,"25,651",4.5
70 to 74 years,769,2.1,"17,863",3.1
75 to 79 years,537,1.4,"12,783",2.2
80 to 84 years,441,1.2,"9,990",1.7
85 years and over,438,1.2,"9,221",1.6

Under 18 years,"6,088",16.3,"135,490",23.5
18 to 24 years,"10,819",29.0,"58,144",10.1
25 to 44 years,"9,620",25.8,"149,367",25.9
45 to 64 years,"7,353",19.7,"157,903",27.4
65 years and over,"3,396",9.1,"75,508",13.1

Median age (years),27.2,NA,36.9,NA

