"POPULATION -
  RACE/HISPANIC1",Number,Percent,Number,Percent
"All
  Races Combined","37,276",100.0,"576,412",100.0
White Alone,"34,408",92.3,"536,450",93.1
Black or African American Alone,618,1.7,"8,555",1.5
American Indian and Alaska Native Alone,367,1.0,"15,003",2.6
Asian Alone,"1,025",2.7,"5,183",0.9
"Native Hawaiian and Other Pacific
  Islander Alone",34,0.1,575,0.1
Two or More Races,824,2.2,"10,646",1.8

"Hispanic
  (may be of any race)","3,402",9.1,"54,770",9.5
Non-Hispanic,"33,874",90.9,"521,642",90.5
White Alone,"31,424",84.3,"487,822",84.6

