"TOTAL
  ANNUAL WAGES6",Number,Percent,Number,Percent
Total,"$563,245,068",100.0,"$12,419,640,108",100.0
Private,"$279,292,921",49.6,"$9,402,134,549",75.7
"Agriculture, Forestry, Fishing,
  & Hunting","$2,274,495",0.4,"$77,320,968",0.6
"Mining, Quarrying, & Oil &
  Gas Extraction","$2,459,853",0.4,"$2,292,161,480",18.5
Utilities,"$2,317,016",0.4,"$201,510,613",1.6
Construction,"$21,848,884",3.9,"$1,060,383,641",8.5
Manufacturing,"$14,697,301",2.6,"$522,831,750",4.2
Wholesale Trade,"$5,167,372",0.9,"$527,492,048",4.2
Retail Trade,"$37,989,594",6.7,"$796,995,012",6.4
Transportation & Warehousing,"$6,916,118",1.2,"$452,562,477",3.6
Information,"$4,647,602",0.8,"$162,296,930",1.3
Financial Activities,"$25,952,707",4.6,"$528,141,060",4.3
Professional & Business Services,"$48,747,455",8.7,"$875,522,196",7.0
Educational & Health Services,"$70,987,233",12.6,"$1,017,875,287",8.2
Leisure & Hospitality,"$25,599,929",4.5,"$589,074,501",4.7
Other Services,"$9,687,362",1.7,"$297,966,586",2.4
Government,"$283,952,147",50.4,"$3,017,505,559",24.3
Federal Government,"$9,826,291",1.7,"$444,713,124",3.6
State Government,"$195,037,865",34.6,"$693,482,477",5.6
Local Government,"$79,087,991",14.0,"$1,879,309,958",15.1

