AVERAGE ANNUAL WAGE6,Number,Percent,Number,Percent
Total,"$37,174",100.0,"$44,580",100.0
Private,"$37,365",100.5,"$44,309",99.4
"Agriculture, Forestry, Fishing,
  & Hunting","$29,012",78.0,"$30,423",68.2
"Mining, Quarrying, & Oil &
  Gas Extraction","$55,177",148.4,"$82,787",185.7
Utilities,"$56,037",150.7,"$81,625",183.1
Construction,"$39,668",106.7,"$49,321",110.6
Manufacturing,"$40,042",107.7,"$55,879",125.3
Wholesale Trade,"$40,937",110.1,"$57,547",129.1
Retail Trade,"$19,579",52.7,"$27,069",60.7
Transportation & Warehousing,"$40,254",108.3,"$47,370",106.3
Information,"$39,715",106.8,"$41,599",93.3
Financial Activities,"$41,714",112.2,"$49,113",110.2
Professional & Business Services,"$37,663",101.3,"$48,614",109.0
Educational & Health Services,"$25,447",68.5,"$40,194",90.2
Leisure & Hospitality,"$11,358",30.6,"$17,365",39.0
Other Services,"$27,625",74.3,"$34,795",78.1
Government,"$36,832",99.1,"$45,442",101.9
Federal Government,"$50,300",135.3,"$59,122",132.6
State Government,"$44,422",119.5,"$51,973",116.6
Local Government,"$34,574",93.0,"$41,270",92.6

