"AVERAGE
  WAGE AND SALARY EMPLOYMENT6",Number,Percent,Number,Percent
Total,"4,248",100.0,"278,595",100.0
Private,"2,728",64.2,"212,193",76.2
"Agriculture, Forestry, Fishing,
  & Hunting",133,3.1,"2,542",0.9
"Mining, Quarrying, & Oil &
  Gas Extraction",634,14.9,"27,688",9.9
Utilities,23,0.5,"2,469",0.9
Construction,286,6.7,"21,500",7.7
Manufacturing,253,6.0,"9,357",3.4
Wholesale Trade,122,2.9,"9,166",3.3
Retail Trade,305,7.2,"29,444",10.6
Transportation & Warehousing,75,1.8,"9,554",3.4
Information,95,2.2,"3,902",1.4
Financial Activities,101,2.4,"10,754",3.9
Professional & Business Services,285,6.7,"18,010",6.5
Educational & Health Services,139,3.3,"25,324",9.1
Leisure & Hospitality,218,5.1,"33,923",12.2
Other Services,62,1.5,"8,564",3.1
Government,"1,520",35.8,"66,403",23.8
Federal Government,106,2.5,"7,522",2.7
State Government,180,4.2,"13,343",4.8
Local Government,"1,235",29.1,"45,538",16.3

