"COMMUTING
  TO OR FROM A DIFFERENT COUNTY FOR WORK",Number,Percent,Number,Percent
"Total
  Commuting Out",922,100.0,"22,542",100.0
"to Park County, WY",558,60.5,"1,473",6.5
"to Washakie County, WY",106,11.5,355,1.6
"to Sheridan County, WY",29,3.1,548,2.4
"to Hot Springs County, WY",26,2.8,162,0.7
"to Converse County, WY",25,2.7,"1,222",5.4
to All Other Counties,178,19.3,"18,782",83.3

"Total
  Commuting In",491,100.0,"29,946",100.0
"from Park County, WY",366,74.5,994,3.3
"from Washakie County, WY",35,7.1,220,0.7
"from Sheridan County, WY",32,6.5,"1,599",5.3
"from Cascade County, MT",24,4.9,28,0.1
"from Sweetgrass County, MT",13,2.6,13,0.0
from All Other Counties,21,4.3,"27,092",90.5

