EDUCATIONAL ATTAINMENT2,Number,Percent,Number,Percent
"Population
  25 years and over","7,797",100.0,"371,096",100.0
Less than 9th grade,307,3.9,"8,661",2.3
"9th to 12th grade, no diploma",631,8.1,"20,726",5.6
"High school graduate (includes
  equivalency)","2,408",30.9,"113,353",30.5
"Some college, no degree","2,321",29.8,"101,199",27.3
Associate's degree,663,8.5,"37,126",10.0
Bachelor's degree,989,12.7,"60,011",16.2
Graduate or professional degree,478,6.1,"30,020",8.1

"Percent
  high school graduate or higher",(X),88.0,(X),92.1
"Percent
  bachelor's degree or higher",(X),18.8,(X),24.3

