"FAMILIES
  AND PEOPLE WHOSE INCOME IS BELOW THE POVERTY LEVEL2",Number,Percent,Number,Percent
"All
  families",208,6.5,"10,532",7.2
With related children under 18 years,184,12.9,"8,494",12.4
Married couple families,106,3.8,"4,139",3.5
With related children under 18 years,82,7.3,"2,719",5.7
"Families with female householder, no husband
  present",74,27.8,"5,472",28.4
With related children under 18 years,74,43.3,"4,982",36.2

"All
  people","1,144",10.0,"60,636",11.0
Under 18 years,392,13.4,"19,470",14.7
18 to 64 years,649,10.0,"36,902",10.6
65 years and over,103,5.2,"4,264",6.3

