"HOME
  VALUE2",Number,Percent,Number,Percent
"Owner-occupied
  units","3,414",100.0,"155,659",100.0
"Less than $50,000",361,10.6,"16,506",10.6
"$50,000 to $99,999",856,25.1,"14,553",9.3
"$100,000 to $149,999",813,23.8,"23,529",15.1
"$150,000 to $199,999",634,18.6,"32,655",21.0
"$200,000 to $299,999",495,14.5,"38,465",24.7
"$300,000 to $499,999",206,6.0,"20,225",13.0
"$500,000 to $999,999",40,1.2,"6,826",4.4
"$1,000,000 or more",9,0.3,"2,900",1.9
Median (dollars),"$123,900",(X),"$184,400",(X)

