"INCOME
  AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)2",Number,Percent,Number,Percent
"Total
  households","4,587",100.0,"221,479",100.0
"Less than $10,000",137,3.0,"11,279",5.1
"$10,000 to $14,999",292,6.4,"10,717",4.8
"$15,000 to $24,999",506,11.0,"21,127",9.5
"$25,000 to $34,999",577,12.6,"22,992",10.4
"$35,000 to $49,999",731,15.9,"31,395",14.2
"$50,000 to $74,999",900,19.6,"44,135",19.9
"$75,000 to $99,999",783,17.1,"31,949",14.4
"$100,000 to $149,999",396,8.6,"32,413",14.6
"$150,000 to $199,999",176,3.8,"9,172",4.1
"$200,000 or more",89,1.9,"6,300",2.8
Median household income (dollars),"$51,002",(X),"$56,573",(X)
Mean household income (dollars),"$63,136",(X),"$70,836",(X)

With earnings,"3,510",76.5,"184,013",83.1
Mean earnings (dollars),"$60,270",(X),"$69,147",(X)
With Social Security,"1,792",39.1,"58,632",26.5
Mean Social Security income (dollars),"$17,426",(X),"$16,806",(X)
With retirement income,"1,033",22.5,"35,970",16.2
Mean retirement income (dollars),"$21,616",(X),"$21,386",(X)

With Supplemental Security Income,160,3.5,"6,552",3.0
"Mean Supplemental Security Income
  (dollars)","$6,886",(X),"$8,539",(X)
With cash public assistance income,54,1.2,"3,444",1.6
"Mean cash public assistance income
  (dollars)","$2,900",(X),"$3,374",(X)
With Food Stamp/SNAP benefits,261,5.7,"12,666",5.7

