POPULATION - AGE/SEX1,Number,Percent,Number,Percent
Total,"11,794",100.0,"576,412",100.0
Male,"5,922",50.2,"294,281",51.1
Female,"5,872",49.8,"282,131",48.9

Under 5 years,743,6.3,"38,592",6.7
5 to 9 years,830,7.0,"38,895",6.7
10 to 14 years,845,7.2,"36,286",6.3
15 to 19 years,852,7.2,"37,270",6.5
20 to 24 years,607,5.1,"42,591",7.4
25 to 29 years,583,4.9,"41,306",7.2
30 to 34 years,620,5.3,"39,793",6.9
35 to 39 years,564,4.8,"34,061",5.9
40 to 44 years,688,5.8,"34,207",5.9
45 to 49 years,735,6.2,"35,794",6.2
50 to 54 years,839,7.1,"43,170",7.5
55 to 59 years,866,7.3,"43,260",7.5
60 to 64 years,839,7.1,"35,679",6.2
65 to 69 years,695,5.9,"25,651",4.5
70 to 74 years,527,4.5,"17,863",3.1
75 to 79 years,399,3.4,"12,783",2.2
80 to 84 years,286,2.4,"9,990",1.7
85 years and over,276,2.3,"9,221",1.6

Under 18 years,"2,991",25.4,"135,490",23.5
18 to 24 years,886,7.5,"58,144",10.1
25 to 44 years,"2,455",20.8,"149,367",25.9
45 to 64 years,"3,279",27.8,"157,903",27.4
65 years and over,"2,183",18.5,"75,508",13.1

Median age (years),41.8,NA,36.9,NA

