"POPULATION -
  RACE/HISPANIC1",Number,Percent,Number,Percent
"All
  Races Combined","11,794",100.0,"576,412",100.0
White Alone,"11,331",96.1,"536,450",93.1
Black or African American Alone,107,0.9,"8,555",1.5
American Indian and Alaska Native Alone,148,1.3,"15,003",2.6
Asian Alone,54,0.5,"5,183",0.9
"Native Hawaiian and Other Pacific
  Islander Alone",2,0.0,575,0.1
Two or More Races,152,1.3,"10,646",1.8

"Hispanic
  (may be of any race)","1,015",8.6,"54,770",9.5
Non-Hispanic,"10,779",91.4,"521,642",90.5
White Alone,"10,423",88.4,"487,822",84.6

