TRANSPORTATION12,Number,Percent,Number,Percent
"Number
  of Registered Vehicles","20,083",100.0,"883,401",100.0
Passenger Cars,"6,616",32.9,"348,250",39.4
Trucks,"6,026",30.0,"251,400",28.5
Motorcycles,465,2.3,"29,853",3.4
Trailers (including house trailers),"4,957",24.7,"196,395",22.2
"University of Wyoming Specialty Plates
  (cars & trucks)",70,0.3,"5,025",0.6
Commercial Trucks & Trailers,"1,196",6.0,"24,901",2.8
Others,753,3.7,"27,577",3.1
"Road
  (miles)","1,013",100.0,"29,070",100.0
Federal,84,8.3,"4,089",14.1
State Highway,291,28.7,"6,752",23.2
County Road,558,55.1,"14,620",50.3
Local (City & Town),72,7.1,"2,431",8.4
Other,8,0.8,"1,178",4.1
"Per
  Capita Vehicle Miles Traveled","12,765",(X),"15,659",(X)
"Commercial
  Airport Passengers",0,(X),"997,818",(X)

