VALUATION AND TAXES8,Number,Percent,Number,Percent
"Total
  Assessed Valuation","$289,109,390",100.0,"$22,797,094,335",100.0
Non-Minerals,"$114,338,815",39.5,"$9,290,528,889",40.8
Agriculture,"$14,906,306",5.2,"$253,014,175",1.1
Residential,"$53,343,192",18.5,"$4,292,823,158",18.8
Commercial,"$13,430,779",4.6,"$1,198,642,514",5.3
Industrial,"$14,546,974",5.0,"$2,162,592,241",9.5
Other,"$18,111,564",6.3,"$1,383,456,801",6.1
Minerals,"$174,770,575",60.5,"$13,506,565,446",59.2
Oil,"$122,223,846",42.3,"$4,229,997,989",18.6
Natural gas,"$4,054,048",1.4,"$4,470,657,938",19.6
Coal,$0,0.0,"$4,054,979,229",17.8
Other minerals,"$48,492,681",16.8,"$750,930,290",3.3
"Total
  Property Taxes","$20,841,732",(X),"$1,463,519,560",(X)
"Average
  Mill Levy",72.1,(X),64.2,(X)

"4% Sales
  and Use Tax Collections","$7,407,215",(X),"$700,228,831",(X)

"LANDOWNERSHIP9 (square
  miles)",Number,Percent,Number,Percent
"Total
  Land","3,137.1",100.0,"97,093.1",100.0
U.S. Government,"2,413.7",76.9,"46,535.4",47.9
National Park Service,27.1,0.9,"3,657.6",3.8
Forest Service,548.8,17.5,"14,390.9",14.8
Fish and Wildlife,0.0,0.0,80.3,0.1
Bureau of Land Management,"1,729.0",55.1,"27,162.8",28.0
Bureau of Reclamation,108.8,3.5,"1,243.8",1.3
Wyoming,131.1,4.2,"6,042.7",6.2
State Lands Commission,118.7,3.8,"5,773.5",5.9
Recreation Commission,0.3,0.0,11.8,0.0
Game and Fish,12.1,0.4,257.4,0.3
Local Government,3.4,0.1,192.0,0.2
County,2.9,0.1,36.7,0.0
City and Town,0.1,0.0,78.3,0.1
School District and College,0.4,0.0,44.3,0.0
Other Lands,11.5,0.4,"3,155.5",3.2

Surface Water,22.0,0.7,735.2,0.8
Total Public,"2,559.7",81.6,"55,925.5",57.6
Total Private,577.4,18.4,"41,167.6",42.4

