"FAMILIES
  AND PEOPLE WHOSE INCOME IS BELOW THE POVERTY LEVEL2",Number,Percent,Number,Percent
"All
  families",728,6.0,"10,532",7.2
With related children under 18 years,574,9.1,"8,494",12.4
Married couple families,214,2.2,"4,139",3.5
With related children under 18 years,127,2.7,"2,719",5.7
"Families with female householder, no husband
  present",464,30.4,"5,472",28.4
With related children under 18 years,432,35.1,"4,982",36.2

"All
  people","3,023",6.7,"60,636",11.0
Under 18 years,"1,020",8.1,"19,470",14.7
18 to 64 years,"1,893",6.3,"36,902",10.6
65 years and over,110,4.3,"4,264",6.3

