"HOME
  VALUE2",Number,Percent,Number,Percent
"Owner-occupied
  units","12,902",100.0,"155,659",100.0
"Less than $50,000","1,903",14.7,"16,506",10.6
"$50,000 to $99,999",954,7.4,"14,553",9.3
"$100,000 to $149,999","1,105",8.6,"23,529",15.1
"$150,000 to $199,999","2,422",18.8,"32,655",21.0
"$200,000 to $299,999","4,350",33.7,"38,465",24.7
"$300,000 to $499,999","1,777",13.8,"20,225",13.0
"$500,000 to $999,999",320,2.5,"6,826",4.4
"$1,000,000 or more",71,0.6,"2,900",1.9
Median (dollars),"$201,100",(X),"$184,400",(X)

