"INCOME
  AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)2",Number,Percent,Number,Percent
"Total
  households","16,937",100.0,"221,479",100.0
"Less than $10,000",365,2.2,"11,279",5.1
"$10,000 to $14,999",540,3.2,"10,717",4.8
"$15,000 to $24,999",741,4.4,"21,127",9.5
"$25,000 to $34,999",996,5.9,"22,992",10.4
"$35,000 to $49,999","2,002",11.8,"31,395",14.2
"$50,000 to $74,999","3,526",20.8,"44,135",19.9
"$75,000 to $99,999","3,117",18.4,"31,949",14.4
"$100,000 to $149,999","3,880",22.9,"32,413",14.6
"$150,000 to $199,999","1,101",6.5,"9,172",4.1
"$200,000 or more",669,3.9,"6,300",2.8
Median household income (dollars),"$77,090",(X),"$56,573",(X)
Mean household income (dollars),"$89,644",(X),"$70,836",(X)

With earnings,"15,650",92.4,"184,013",83.1
Mean earnings (dollars),"$88,186",(X),"$69,147",(X)
With Social Security,"2,404",14.2,"58,632",26.5
Mean Social Security income (dollars),"$16,184",(X),"$16,806",(X)
With retirement income,"1,215",7.2,"35,970",16.2
Mean retirement income (dollars),"$18,712",(X),"$21,386",(X)

With Supplemental Security Income,409,2.4,"6,552",3.0
"Mean Supplemental Security Income
  (dollars)","$10,362",(X),"$8,539",(X)
With cash public assistance income,217,1.3,"3,444",1.6
"Mean cash public assistance income
  (dollars)","$2,223",(X),"$3,374",(X)
With Food Stamp/SNAP benefits,539,3.2,"12,666",5.7

