POPULATION - AGE/SEX1,Number,Percent,Number,Percent
Total,"47,874",100.0,"576,412",100.0
Male,"24,950",52.1,"294,281",51.1
Female,"22,924",47.9,"282,131",48.9

Under 5 years,"4,046",8.5,"38,592",6.7
5 to 9 years,"3,833",8.0,"38,895",6.7
10 to 14 years,"3,513",7.3,"36,286",6.3
15 to 19 years,"3,087",6.4,"37,270",6.5
20 to 24 years,"3,394",7.1,"42,591",7.4
25 to 29 years,"4,249",8.9,"41,306",7.2
30 to 34 years,"3,859",8.1,"39,793",6.9
35 to 39 years,"3,253",6.8,"34,061",5.9
40 to 44 years,"2,934",6.1,"34,207",5.9
45 to 49 years,"3,106",6.5,"35,794",6.2
50 to 54 years,"3,946",8.2,"43,170",7.5
55 to 59 years,"3,402",7.1,"43,260",7.5
60 to 64 years,"2,261",4.7,"35,679",6.2
65 to 69 years,"1,213",2.5,"25,651",4.5
70 to 74 years,698,1.5,"17,863",3.1
75 to 79 years,476,1.0,"12,783",2.2
80 to 84 years,338,0.7,"9,990",1.7
85 years and over,266,0.6,"9,221",1.6

Under 18 years,"13,322",27.8,"135,490",23.5
18 to 24 years,"4,551",9.5,"58,144",10.1
25 to 44 years,"14,295",29.9,"149,367",25.9
45 to 64 years,"12,715",26.6,"157,903",27.4
65 years and over,"2,991",6.2,"75,508",13.1

Median age (years),32.3,NA,36.9,NA

