"POPULATION -
  RACE/HISPANIC1",Number,Percent,Number,Percent
"All Races
  Combined","47,874",100.0,"576,412",100.0
White Alone,"45,620",95.3,"536,450",93.1
Black or African American Alone,421,0.9,"8,555",1.5
American Indian and Alaska Native Alone,697,1.5,"15,003",2.6
Asian Alone,274,0.6,"5,183",0.9
"Native Hawaiian and Other Pacific
  Islander Alone",29,0.1,575,0.1
Two or More Races,833,1.7,"10,646",1.8

"Hispanic
  (may be of any race)","3,818",8.0,"54,770",9.5
Non-Hispanic,"44,056",92.0,"521,642",90.5
White Alone,"42,242",88.2,"487,822",84.6

