TRANSPORTATION12,Number,Percent,Number,Percent
"Number of
  Registered Vehicles","76,552",100.0,"883,401",100.0
Passenger Cars,"26,684",34.9,"348,250",39.4
Trucks,"23,230",30.3,"251,400",28.5
Motorcycles,"3,327",4.3,"29,853",3.4
Trailers (including house trailers),"17,428",22.8,"196,395",22.2
"University of Wyoming Specialty Plates
  (cars & trucks)",244,0.3,"5,025",0.6
Commercial Trucks & Trailers,"3,398",4.4,"24,901",2.8
Others,"2,241",2.9,"27,577",3.1
"Road
  (miles)","1,560",100.0,"29,070",100.0
Federal,51,3.3,"4,089",14.1
State Highway,337,21.6,"6,752",23.2
County Road,925,59.3,"14,620",50.3
Local (City & Town),182,11.6,"2,431",8.4
Other,66,4.2,"1,178",4.1
"Per
  Capita Vehicle Miles Traveled","13,895",(X),"15,659",(X)
"Commercial
  Airport Passengers","60,762",(X),"997,818",(X)

