"AVERAGE
  WAGE AND SALARY EMPLOYMENT6",Number,Percent,Number,Percent
Total,"6,873",100.0,"278,595",100.0
Private,"4,774",69.5,"212,193",76.2
"Agriculture, Forestry, Fishing,
  & Hunting",170,2.5,"2,542",0.9
"Mining, Quarrying, & Oil &
  Gas Extraction",251,3.7,"27,688",9.9
Utilities,57,0.8,"2,469",0.9
Construction,524,7.6,"21,500",7.7
Manufacturing,556,8.1,"9,357",3.4
Wholesale Trade,64,0.9,"9,166",3.3
Retail Trade,685,10.0,"29,444",10.6
Transportation & Warehousing,261,3.8,"9,554",3.4
Information,84,1.2,"3,902",1.4
Financial Activities,217,3.2,"10,754",3.9
Professional & Business Services,284,4.1,"18,010",6.5
Educational & Health Services,437,6.4,"25,324",9.1
Leisure & Hospitality,"1,047",15.2,"33,923",12.2
Other Services,139,2.0,"8,564",3.1
Government,"2,099",30.5,"66,403",23.8
Federal Government,218,3.2,"7,522",2.7
State Government,521,7.6,"13,343",4.8
Local Government,"1,361",19.8,"45,538",16.3

