"FAMILIES
  AND PEOPLE WHOSE INCOME IS BELOW THE POVERTY LEVEL2",Number,Percent,Number,Percent
"All
  families",320,7.9,"10,532",7.2
With related children under 18 years,257,13.8,"8,494",12.4
Married couple families,160,4.9,"4,139",3.5
With related children under 18 years,114,9.2,"2,719",5.7
"Families with female householder, no husband
  present",143,26.3,"5,472",28.4
With related children under 18 years,134,30.7,"4,982",36.2

"All
  people","1,664",11.4,"60,636",11.0
Under 18 years,647,18.1,"19,470",14.7
18 to 64 years,858,9.3,"36,902",10.6
65 years and over,159,8.5,"4,264",6.3

