"POPULATION -
  RACE/HISPANIC1",Number,Percent,Number,Percent
"All
  Races Combined","15,666",100.0,"576,412",100.0
White Alone,"14,803",94.5,"536,450",93.1
Black or African American Alone,229,1.5,"8,555",1.5
American Indian and Alaska Native Alone,245,1.6,"15,003",2.6
Asian Alone,138,0.9,"5,183",0.9
"Native Hawaiian and Other Pacific
  Islander Alone",12,0.1,575,0.1
Two or More Races,239,1.5,"10,646",1.8

"Hispanic
  (may be of any race)","2,683",17.1,"54,770",9.5
Non-Hispanic,"12,983",82.9,"521,642",90.5
White Alone,"12,314",78.6,"487,822",84.6

