TRANSPORTATION12,Number,Percent,Number,Percent
"Number
  of Registered Vehicles","26,870",100.0,"883,401",100.0
Passenger Cars,"8,838",32.9,"348,250",39.4
Trucks,"8,622",32.1,"251,400",28.5
Motorcycles,656,2.4,"29,853",3.4
Trailers (including house trailers),"6,389",23.8,"196,395",22.2
"University of Wyoming Specialty Plates
  (cars & trucks)",191,0.7,"5,025",0.6
Commercial Trucks & Trailers,819,3.0,"24,901",2.8
Others,"1,355",5.0,"27,577",3.1
"Road
  (miles)","2,240",100.0,"29,070",100.0
Federal,609,27.2,"4,089",14.1
State Highway,515,23.0,"6,752",23.2
County Road,960,42.9,"14,620",50.3
Local (City & Town),126,5.6,"2,431",8.4
Other,30,1.3,"1,178",4.1
"Per
  Capita Vehicle Miles Traveled","34,889",(X),"15,659",(X)
"Commercial
  Airport Passengers",0,(X),"997,818",(X)

