"AVERAGE
  WAGE AND SALARY EMPLOYMENT6",Number,Percent,Number,Percent
Total,"5,900",100.0,"278,595",100.0
Private,"4,416",74.8,"212,193",76.2
"Agriculture, Forestry, Fishing,
  & Hunting",117,2.0,"2,542",0.9
"Mining, Quarrying, & Oil &
  Gas Extraction","1,277",21.6,"27,688",9.9
Utilities,208,3.5,"2,469",0.9
Construction,410,7.0,"21,500",7.7
Manufacturing,125,2.1,"9,357",3.4
Wholesale Trade,71,1.2,"9,166",3.3
Retail Trade,430,7.3,"29,444",10.6
Transportation & Warehousing,207,3.5,"9,554",3.4
Information,61,1.0,"3,902",1.4
Financial Activities,182,3.1,"10,754",3.9
Professional & Business Services,187,3.2,"18,010",6.5
Educational & Health Services,272,4.6,"25,324",9.1
Leisure & Hospitality,687,11.6,"33,923",12.2
Other Services,183,3.1,"8,564",3.1
Government,"1,485",25.2,"66,403",23.8
Federal Government,65,1.1,"7,522",2.7
State Government,133,2.3,"13,343",4.8
Local Government,"1,287",21.8,"45,538",16.3

