"COMMUTING
  TO OR FROM A DIFFERENT COUNTY FOR WORK",Number,Percent,Number,Percent
"Total
  Commuting Out","1,872",100.0,"22,542",100.0
"to Natrona County, WY",915,48.9,"2,080",9.2
"to Campbell County, WY",770,41.1,"4,290",19.0
"to Johnson County, WY",57,3.0,675,3.0
"to Fremont County, WY",35,1.9,565,2.5
"to Denver County, CO",29,1.5,242,1.1
to All Other Counties,66,3.5,"14,690",65.2

"Total
  Commuting In","1,222",100.0,"29,946",100.0
"from Natrona County, WY",657,53.8,"1,676",5.6
"from Platte County, WY",74,6.1,409,1.4
"from Goshen County, WY",58,4.7,"1,235",4.1
"from Coconino County, AZ",41,3.4,142,0.5
"from Dawes County, NE",30,2.5,73,0.2
from All Other Counties,362,29.6,"26,411",88.2

