"FAMILIES
  AND PEOPLE WHOSE INCOME IS BELOW THE POVERTY LEVEL2",Number,Percent,Number,Percent
"All
  families",183,4.8,"10,532",7.2
With related children under 18 years,166,8.7,"8,494",12.4
Married couple families,108,3.5,"4,139",3.5
With related children under 18 years,100,7.1,"2,719",5.7
"Families with female householder, no husband
  present",75,16.8,"5,472",28.4
With related children under 18 years,66,20.6,"4,982",36.2

"All
  people","1,127",8.3,"60,636",11.0
Under 18 years,382,11.2,"19,470",14.7
18 to 64 years,610,7.2,"36,902",10.6
65 years and over,135,7.6,"4,264",6.3

