"HOME
  VALUE2",Number,Percent,Number,Percent
"Owner-occupied
  units","4,155",100.0,"155,659",100.0
"Less than $50,000",492,11.8,"16,506",10.6
"$50,000 to $99,999",358,8.6,"14,553",9.3
"$100,000 to $149,999",617,14.8,"23,529",15.1
"$150,000 to $199,999","1,018",24.5,"32,655",21.0
"$200,000 to $299,999","1,141",27.5,"38,465",24.7
"$300,000 to $499,999",399,9.6,"20,225",13.0
"$500,000 to $999,999",92,2.2,"6,826",4.4
"$1,000,000 or more",38,0.9,"2,900",1.9
Median (dollars),"$183,100",(X),"$184,400",(X)

