POPULATION - AGE/SEX1,Number,Percent,Number,Percent
Total,"14,008",100.0,"576,412",100.0
Male,"7,137",50.9,"294,281",51.1
Female,"6,871",49.1,"282,131",48.9

Under 5 years,943,6.7,"38,592",6.7
5 to 9 years,954,6.8,"38,895",6.7
10 to 14 years,984,7.0,"36,286",6.3
15 to 19 years,916,6.5,"37,270",6.5
20 to 24 years,747,5.3,"42,591",7.4
25 to 29 years,830,5.9,"41,306",7.2
30 to 34 years,908,6.5,"39,793",6.9
35 to 39 years,810,5.8,"34,061",5.9
40 to 44 years,940,6.7,"34,207",5.9
45 to 49 years,954,6.8,"35,794",6.2
50 to 54 years,"1,141",8.1,"43,170",7.5
55 to 59 years,"1,097",7.8,"43,260",7.5
60 to 64 years,895,6.4,"35,679",6.2
65 to 69 years,629,4.5,"25,651",4.5
70 to 74 years,447,3.2,"17,863",3.1
75 to 79 years,351,2.5,"12,783",2.2
80 to 84 years,252,1.8,"9,990",1.7
85 years and over,210,1.5,"9,221",1.6

Under 18 years,"3,440",24.6,"135,490",23.5
18 to 24 years,"1,104",7.9,"58,144",10.1
25 to 44 years,"3,488",24.9,"149,367",25.9
45 to 64 years,"4,087",29.2,"157,903",27.4
65 years and over,"1,889",13.5,"75,508",13.1

Median age (years),39.4,NA,36.9,NA

