"POPULATION -
  RACE/HISPANIC1",Number,Percent,Number,Percent
"All Races
  Combined","14,008",100.0,"576,412",100.0
White Alone,"13,462",96.1,"536,450",93.1
Black or African American Alone,131,0.9,"8,555",1.5
American Indian and Alaska Native Alone,141,1.0,"15,003",2.6
Asian Alone,55,0.4,"5,183",0.9
"Native Hawaiian and Other Pacific
  Islander Alone",10,0.1,575,0.1
Two or More Races,209,1.5,"10,646",1.8

"Hispanic
  (may be of any race)",992,7.1,"54,770",9.5
Non-Hispanic,"13,016",92.9,"521,642",90.5
White Alone,"12,566",89.7,"487,822",84.6

