"TOTAL
  ANNUAL WAGES6",Number,Percent,Number,Percent
Total,"$266,615,639",100.0,"$12,419,640,108",100.0
Private,"$203,855,458",76.5,"$9,402,134,549",75.7
"Agriculture, Forestry, Fishing,
  & Hunting","$3,677,494",1.4,"$77,320,968",0.6
"Mining, Quarrying, & Oil &
  Gas Extraction","$95,279,800",35.7,"$2,292,161,480",18.5
Utilities,"$19,615,565",7.4,"$201,510,613",1.6
Construction,"$19,905,494",7.5,"$1,060,383,641",8.5
Manufacturing,"$5,632,310",2.1,"$522,831,750",4.2
Wholesale Trade,"$3,197,412",1.2,"$527,492,048",4.2
Retail Trade,"$9,754,727",3.7,"$796,995,012",6.4
Transportation & Warehousing,"$8,383,591",3.1,"$452,562,477",3.6
Information,"$1,692,619",0.6,"$162,296,930",1.3
Financial Activities,"$5,845,189",2.2,"$528,141,060",4.3
Professional & Business Services,"$8,212,980",3.1,"$875,522,196",7.0
Educational & Health Services,"$8,435,020",3.2,"$1,017,875,287",8.2
Leisure & Hospitality,"$8,897,321",3.3,"$589,074,501",4.7
Other Services,"$5,325,936",2.0,"$297,966,586",2.4
Government,"$62,760,181",23.5,"$3,017,505,559",24.3
Federal Government,"$3,624,488",1.4,"$444,713,124",3.6
State Government,"$6,804,035",2.6,"$693,482,477",5.6
Local Government,"$52,331,658",19.6,"$1,879,309,958",15.1

