TRANSPORTATION12,Number,Percent,Number,Percent
"Number of
  Registered Vehicles","25,307",100.0,"883,401",100.0
Passenger Cars,"8,658",34.2,"348,250",39.4
Trucks,"7,915",31.3,"251,400",28.5
Motorcycles,868,3.4,"29,853",3.4
Trailers (including house trailers),"5,947",23.5,"196,395",22.2
"University of Wyoming Specialty Plates
  (cars & trucks)",165,0.7,"5,025",0.6
Commercial Trucks & Trailers,872,3.4,"24,901",2.8
Others,882,3.5,"27,577",3.1
"Road
  (miles)","1,038",100.0,"29,070",100.0
Federal,56,5.4,"4,089",14.1
State Highway,262,25.2,"6,752",23.2
County Road,610,58.8,"14,620",50.3
Local (City & Town),65,6.3,"2,431",8.4
Other,44,4.3,"1,178",4.1
"Per
  Capita Vehicle Miles Traveled","24,060",(X),"15,659",(X)
"Commercial
  Airport Passengers",0,(X),"997,818",(X)

