VALUATION AND TAXES8,Number,Percent,Number,Percent
"Total
  Assessed Valuation","$1,168,956,285",100.0,"$22,797,094,335",100.0
Non-Minerals,"$395,273,372",33.8,"$9,290,528,889",40.8
Agriculture,"$12,862,412",1.1,"$253,014,175",1.1
Residential,"$87,716,324",7.5,"$4,292,823,158",18.8
Commercial,"$24,284,177",2.1,"$1,198,642,514",5.3
Industrial,"$89,792,891",7.7,"$2,162,592,241",9.5
Other,"$180,617,568",15.5,"$1,383,456,801",6.1
Minerals,"$773,682,913",66.2,"$13,506,565,446",59.2
Oil,"$407,163,204",34.8,"$4,229,997,989",18.6
Natural gas,"$37,081,819",3.2,"$4,470,657,938",19.6
Coal,"$295,433,065",25.3,"$4,054,979,229",17.8
Other minerals,"$34,004,825",2.9,"$750,930,290",3.3
"Total
  Property Taxes","$70,127,477",(X),"$1,463,519,560",(X)
"Average
  Mill Levy",60.0,(X),64.2,(X)

"4% Sales
  and Use Tax Collections","$47,578,564",(X),"$700,228,831",(X)

LANDOWNERSHIP9 (square miles),Number,Percent,Number,Percent
"Total
  Land","4,254.9",100.0,"97,093.1",100.0
U.S. Government,608.5,14.3,"46,535.4",47.9
National Park Service,0.0,0.0,"3,657.6",3.8
Forest Service,405.1,9.5,"14,390.9",14.8
Fish and Wildlife,0.0,0.0,80.3,0.1
Bureau of Land Management,203.2,4.8,"27,162.8",28.0
Bureau of Reclamation,0.2,0.0,"1,243.8",1.3
Wyoming,407.3,9.6,"6,042.7",6.2
State Lands Commission,407.1,9.6,"5,773.5",5.9
Recreation Commission,0.1,0.0,11.8,0.0
Game and Fish,0.1,0.0,257.4,0.3
Local Government,1.8,0.0,192.0,0.2
County,0.2,0.0,36.7,0.0
City and Town,1.4,0.0,78.3,0.1
School District and College,0.2,0.0,44.3,0.0
Other Lands,9.5,0.2,"3,155.5",3.2

Surface Water,10.4,0.2,735.2,0.8
Total Public,"1,027.1",24.1,"55,925.5",57.6
Total Private,"3,227.8",75.9,"41,167.6",42.4

